"acc","locus_tag","gene_name","length_nt","start","end","type","annotation"
"NP_075206.1","YAL044W-A","BOL1",333,57518,57850,"protein_coding","Bol1p"
"NP_009355.3","YAL044C","GCV3",513,57950,58462,"protein_coding","glycine decarboxylase subunit H"
"NP_009356.1","YAL043C","PTA1",2358,58695,61052,"protein_coding","RNA-processing protein PTA1"
"NP_009358.1","YAL042W","ERV46",1248,61316,62563,"protein_coding","Erv46p"
"NP_009359.1","YAL041W","CDC24",2565,62840,65404,"protein_coding","Rho family guanine nucleotide exchange factor CDC24"
"NP_009360.1","YAL040C","CLN3",1743,65778,67520,"protein_coding","cyclin CLN3"
"NP_009361.1","YAL039C","CYC3",810,68716,69525,"protein_coding","holocytochrome c synthase CYC3"
"NP_009362.1","YAL038W","CDC19",1503,71786,73288,"protein_coding","pyruvate kinase CDC19"
"NP_878040.1","YAL037C-A",NA,93,73426,73518,"protein_coding","hypothetical protein"
"NP_009363.1","YAL037W",NA,804,74020,74823,"protein_coding","hypothetical protein"
"NP_009364.1","YAL036C","RBG1",1110,75043,76152,"protein_coding","GTP-binding protein RBG1"
"NP_009365.1","YAL035W","FUN12",3009,76427,79435,"protein_coding","translation initiation factor eIF5B"
"NP_009367.1","YAL034W-A","MTW1",870,79718,80587,"protein_coding","MIND complex subunit MTW1"
"NP_009368.2","YAL034C","FUN19",1242,80710,81951,"protein_coding","Fun19p"
"NP_009369.1","YAL033W","POP5",522,82706,83227,"protein_coding","RNA-binding protein POP5"
"NP_009370.1","YAL032C","PRP45",1140,83335,84474,"protein_coding","mRNA splicing protein PRP45"
"NP_009371.1","YAL031C","GIP4",2283,84749,87031,"protein_coding","protein phosphatase regulator GIP4"
"NP_009373.1","YAL029C","MYO4",4416,87855,92270,"protein_coding","myosin 4"
"NP_009374.1","YAL028W","FRT2",1587,92900,94486,"protein_coding","Frt2p"
"NP_009375.1","YAL027W","SAW1",786,94687,95472,"protein_coding","DNA-binding protein SAW1"
"NP_009376.2","YAL026C","DRS2",4068,95630,99697,"protein_coding","aminophospholipid-translocating P4-type ATPase DRS2"
"NP_009377.2","YAL025C","MAK16",921,100225,101145,"protein_coding","ribosome biosynthesis protein MAK16"
"NP_009378.1","YAL024C","LTE1",4308,101565,105872,"protein_coding","mitotic regulator LTE1"
"NP_009379.2","YAL023C","PMT2",2280,106272,108551,"protein_coding","dolichyl-phosphate-mannose-protein mannosyltransferase PMT2"
"NP_009380.1","YAL022C","FUN26",1554,108877,110430,"protein_coding","nucleoside transmembrane transporter FUN26"
"NP_009381.1","YAL021C","CCR4",2514,110846,113359,"protein_coding","CCR4-NOT core exoribonuclease subunit CCR4"
"NP_009382.2","YAL020C","ATS1",1002,113614,114615,"protein_coding","Ats1p"
"NP_009383.1","YAL019W","FUN30",3396,114919,118314,"protein_coding","DNA-dependent ATPase FUN30"
"NP_009384.1","YAL018C","LDS1",978,118564,119541,"protein_coding","Lds1p"
"NP_009385.2","YAL017W","PSK1",4071,120225,124295,"protein_coding","serine/threonine protein kinase PSK1"
"NP_009386.1","YAL016W","TPD3",1908,124879,126786,"protein_coding","protein phosphatase 2A structural subunit TPD3"
"NP_009387.1","YAL015C","NTG1",1200,126903,128102,"protein_coding","bifunctional N-glycosylase/AP lyase NTG1"
"NP_009388.2","YAL014C","SYN8",768,128252,129019,"protein_coding","syntaxin"
"NP_009389.3","YAL013W","DEP1",1218,129270,130487,"protein_coding","Rpd3L histone deacetylase complex subunit DEP1"
"NP_009390.1","YAL012W","CYS3",1185,130799,131983,"protein_coding","cystathionine gamma-lyase CYS3"
"NP_009391.2","YAL011W","SWC3",1878,132199,134076,"protein_coding","Swc3p"
"NP_009392.2","YAL010C","MDM10",1482,134184,135665,"protein_coding","Mdm10p"
"NP_009393.1","YAL009W","SPO7",780,135854,136633,"protein_coding","Nem1-Spo7 phosphatase regulatory subunit SPO7"
"NP_009394.1","YAL008W","FUN14",597,136914,137510,"protein_coding","Fun14p"
"NP_009395.1","YAL007C","ERP2",648,137698,138345,"protein_coding","Erp2p"
"NP_009396.2","YAL005C","SSA1",1929,139503,141431,"protein_coding","Hsp70 family ATPase SSA1"
"NP_009399.2","YAL002W","VPS8",3825,143707,147531,"protein_coding","CORVET complex membrane-binding subunit VPS8"
"NP_009401.1","YAR002W","NUP60",1620,152257,153876,"protein_coding","FG-nucleoporin NUP60"
"NP_009402.1","YAR002C-A","ERP1",660,154065,154724,"protein_coding","Erp1p"
"NP_009403.1","YAR003W","SWD1",1281,155005,156285,"protein_coding","COMPASS subunit protein SWD1"
"NP_009404.1","YAR007C","RFA1",1866,156754,158619,"protein_coding","replication factor A subunit protein RFA1"
"NP_009405.1","YAR008W","SEN34",828,158966,159793,"protein_coding","tRNA splicing endonuclease subunit SEN34"
"NP_009406.1","YAR009C",NA,3591,160597,164187,"protein_coding","truncated gag-pol fusion protein"
"NP_009407.1","YAR010C",NA,1323,164544,165866,"protein_coding","gag protein"
"NP_009408.3","YAR014C","BUD14",2130,166742,168871,"protein_coding","protein phosphatase regulator BUD14"
"NP_009409.1","YAR015W","ADE1",921,169375,170295,"protein_coding","phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"NP_009410.1","YAR018C","KIN3",1308,170396,171703,"protein_coding","serine/threonine protein kinase KIN3"
"NP_009411.2","YAR019C","CDC15",2925,172211,175135,"protein_coding","serine/threonine protein kinase CDC15"
"NP_009412.1","YAR020C","PAU7",168,176856,177023,"protein_coding","seripauperin PAU7"
"NP_009413.2","YAR023C",NA,540,179281,179820,"protein_coding","DUP240 family protein"
"NP_009414.1","YAR027W","UIP3",708,183770,184477,"protein_coding","DUP240 family protein UIP3"
"NP_009415.1","YAR028W",NA,705,184892,185596,"protein_coding","DUP240 family protein"
"NP_009416.1","YAR029W",NA,225,186321,186545,"protein_coding","DUP240 family protein"
"NP_009418.1","YAR031W","PRM9",897,186836,187732,"protein_coding","pheromone-regulated DUP240 family protein PRM9"
"NP_009419.1","YAR033W","MST28",705,188107,188811,"protein_coding","DUP240 family protein MST28"
"NP_009420.1","YAR035W","YAT1",2064,190193,192256,"protein_coding","carnitine O-acetyltransferase YAT1"
"NP_878042.1","YAR035C-A",NA,81,192337,192417,"protein_coding","hypothetical protein"
"NP_009421.3","YAR042W","SWH1",3567,192619,196185,"protein_coding","oxysterol-binding protein related protein SWH1"
"NP_009424.1","YAR050W","FLO1",4614,203403,208016,"protein_coding","flocculin FLO1"
"NP_009429.1","YAR064W",NA,300,220198,220497,"protein_coding","hypothetical protein"
"NP_009430.1","YAR066W",NA,612,221049,221660,"protein_coding","hypothetical protein"
"NP_009431.1","YAR068W",NA,486,222406,222891,"protein_coding","hypothetical protein"
"NP_009434.1","YAR071W","PHO11",1404,225460,226863,"protein_coding","acid phosphatase PHO11"
"NP_009437.1","YBL113C",NA,2379,280,2658,"protein_coding","hypothetical protein"
"NP_009438.1","YBL112C",NA,318,2582,2899,"protein_coding","hypothetical protein"
"NP_076873.1","YBL108C-A","PAU9",129,7605,7733,"protein_coding","seripauperin PAU9"
"NP_009443.1","YBL107C","MIX23",591,9961,10551,"protein_coding","Mix23p"
"NP_009444.2","YBL106C","SRO77",3033,10847,13879,"protein_coding","putative Rab GTPase-binding protein SRO77"
"NP_009445.2","YBL105C","PKC1",3456,14241,17696,"protein_coding","protein kinase C"
"NP_009446.2","YBL104C","SEA4",3117,18177,21293,"protein_coding","Sea4p"
"NP_009447.1","YBL103C","RTG3",1461,22076,23536,"protein_coding","Rtg3p"
"NP_009448.1","YBL102W","SFT2",648,24098,24745,"protein_coding","Sft2p"
"NP_009449.1","YBL101C","ECM21",3354,24946,28299,"protein_coding","Ecm21p"
"NP_878043.1","YBL100W-C","YBL101W-C",120,28427,28546,"protein_coding","hypothetical protein"
"NP_009451.1","YBL100W-A","YBL101W-A",1317,29935,31251,"protein_coding","gag protein"
"NP_009453.2","YBL099W","ATP1",1638,37053,38690,"protein_coding","F1F0 ATP synthase subunit alpha"
"NP_009454.1","YBL098W","BNA4",1383,39145,40527,"protein_coding","kynurenine 3-monooxygenase"
"NP_009455.3","YBL097W","BRN1",2265,40831,43095,"protein_coding","condensin subunit BRN1"
"NP_009457.1","YBL095W","MRX3",813,43277,44089,"protein_coding","Mrx3p"
"NP_009459.1","YBL093C","ROX3",663,44256,44918,"protein_coding","Rox3p"
"NP_009460.1","YBL092W","RPL32",393,45978,46370,"protein_coding","ribosomal 60S subunit protein L32"
"NP_009462.2","YBL091C","MAP2",1266,47363,48628,"protein_coding","methionine aminopeptidase"
"NP_009463.1","YBL090W","MRP21",534,48825,49358,"protein_coding","mitochondrial 37S ribosomal protein MRP21"
"NP_009464.2","YBL089W","AVT5",1380,49574,50953,"protein_coding","amino acid transporter"
"NP_009465.2","YBL088C","TEL1",8364,51019,59382,"protein_coding","DNA-binding protein kinase TEL1"
"NP_009467.1","YBL086C",NA,1401,61202,62602,"protein_coding","hypothetical protein"
"NP_009468.1","YBL085W","BOI1",2943,63876,66818,"protein_coding","Boi1p"
"NP_009469.2","YBL084C","CDC27",2277,67169,69445,"protein_coding","anaphase promoting complex subunit CDC27"
"NP_009471.1","YBL082C","ALG3",1377,69751,71127,"protein_coding","dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase"
"NP_009472.1","YBL081W",NA,1107,71866,72972,"protein_coding","hypothetical protein"
"NP_009473.2","YBL080C","PET112",1626,73070,74695,"protein_coding","glutamyl-tRNA(Gln) amidotransferase subunit PET112"
"NP_009474.1","YBL079W","NUP170",4509,75259,79767,"protein_coding","Nup170p"
"NP_009475.1","YBL078C","ATG8",354,80378,80731,"protein_coding","ubiquitin-like protein ATG8"
"NP_009477.1","YBL076C","ILS1",3219,81043,84261,"protein_coding","isoleucine--tRNA ligase ILS1"
"NP_009478.1","YBL075C","SSA3",1950,84499,86448,"protein_coding","Hsp70 family ATPase SSA3"
"NP_009479.1","YBL074C","AAR2",1068,86722,87789,"protein_coding","U5 snRNP complex subunit AAR2"
"NP_009481.1","YBL072C","RPS8A",603,88523,89125,"protein_coding","ribosomal 40S subunit protein S8A"
"NP_878044.1","YBL071C-B",NA,99,89458,89556,"protein_coding","hypothetical protein"
"NP_660100.1","YBL071W-A","KTI11",249,89978,90226,"protein_coding","Kti11p"
"NP_001333723.1","YBL071C",NA,309,90223,90531,"protein_coding","hypothetical protein"
"NP_009484.2","YBL069W","AST1",1290,90741,92030,"protein_coding","Ast1p"
"NP_009485.3","YBL068W","PRS4",981,92414,93394,"protein_coding","ribose phosphate diphosphokinase subunit PRS4"
"NP_009486.3","YBL067C","UBP13",2244,93639,95882,"protein_coding","ubiquitin-specific protease UBP13"
"NP_009487.2","YBL066C","SEF1",3447,96669,100115,"protein_coding","Sef1p"
"NP_009489.1","YBL064C","PRX1",786,100371,101156,"protein_coding","thioredoxin peroxidase PRX1"
"NP_009490.1","YBL063W","KIP1",3336,101886,105221,"protein_coding","Kip1p"
"NP_009492.1","YBL061C","SKT5",2091,105316,107406,"protein_coding","Skt5p"
"NP_009493.1","YBL060W","YEL1",2064,107932,109995,"protein_coding","Arf family guanine nucleotide exchange factor YEL1"
"NP_009495.1","YBL058W","SHP1",1272,111437,112708,"protein_coding","protein phosphatase regulator SHP1"
"NP_009496.2","YBL057C","PTH2",627,112801,113427,"protein_coding","aminoacyl-tRNA hydrolase"
"NP_009497.2","YBL056W","PTC3",1407,113762,115168,"protein_coding","type 2C protein phosphatase PTC3"
"NP_009498.1","YBL055C",NA,1257,115573,116829,"protein_coding","3'-5'-exodeoxyribonuclease"
"NP_009499.1","YBL054W","TOD6",1578,117589,119166,"protein_coding","Tod6p"
"NP_009501.1","YBL052C","SAS3",2496,119379,121874,"protein_coding","Sas3p"
"NP_009502.1","YBL051C","PIN4",2007,122753,124759,"protein_coding","Pin4p"
"NP_009504.1","YBL049W","MOH1",417,126828,127244,"protein_coding","Moh1p"
"NP_001335744.1","YBL048W","RRT1",312,127299,127610,"protein_coding","Rrt1p"
"NP_009506.1","YBL047C","EDE1",4146,127895,132040,"protein_coding","Ede1p"
"NP_009507.1","YBL046W","PSY4",1326,132424,133749,"protein_coding","Psy4p"
"NP_009508.1","YBL045C","COR1",1374,134143,135516,"protein_coding","ubiquinol--cytochrome-c reductase subunit COR1"
"NP_009509.1","YBL044W",NA,369,135998,136366,"protein_coding","hypothetical protein"
"NP_009510.1","YBL043W","ECM13",774,136688,137461,"protein_coding","Ecm13p"
"NP_009511.1","YBL042C","FUI1",1920,138341,140260,"protein_coding","uridine permease"
"NP_009512.1","YBL041W","PRE7",726,141247,141972,"protein_coding","proteasome core particle subunit beta 6"
"NP_878045.1","YBL039W-B","YBL039W-A",180,143393,143572,"protein_coding","hypothetical protein"
"NP_009514.1","YBL039C","URA7",1740,143989,145728,"protein_coding","CTP synthase URA7"
"NP_009515.1","YBL038W","MRPL16",699,146187,146885,"protein_coding","mitochondrial 54S ribosomal protein YmL47"
"NP_009516.1","YBL037W","APL3",3078,147209,150286,"protein_coding","Apl3p"
"NP_009517.1","YBL036C",NA,774,150447,151220,"protein_coding","hypothetical protein"
"NP_009518.1","YBL035C","POL12",2118,151493,153610,"protein_coding","DNA-directed DNA polymerase alpha subunit POL12"
"NP_009519.1","YBL034C","STU1",4542,153848,158389,"protein_coding","Stu1p"
"NP_009520.1","YBL033C","RIB1",1038,158656,159693,"protein_coding","GTP cyclohydrolase II"
"NP_009521.1","YBL032W","HEK2",1146,160184,161329,"protein_coding","Hek2p"
"NP_009522.1","YBL031W","SHE1",1017,161699,162715,"protein_coding","She1p"
"NP_009523.1","YBL030C","PET9",957,163041,163997,"protein_coding","ADP/ATP carrier protein PET9"
"NP_076874.1","YBL029C-A",NA,285,164488,164772,"protein_coding","hypothetical protein"
"NP_009524.1","YBL029W",NA,1131,166134,167264,"protein_coding","hypothetical protein"
"NP_009525.1","YBL028C",NA,321,167518,167838,"protein_coding","hypothetical protein"
"NP_009528.1","YBL025W","RRN10",438,171481,171918,"protein_coding","Rrn10p"
"NP_009529.1","YBL024W","NCL1",2055,172534,174588,"protein_coding","tRNA (cytosine-C5-)-methyltransferase"
"NP_009530.1","YBL023C","MCM2",2607,174920,177526,"protein_coding","MCM DNA helicase complex subunit MCM2"
"NP_009531.1","YBL022C","PIM1",3402,177874,181275,"protein_coding","ATP-dependent Lon protease PIM1"
"NP_009532.1","YBL021C","HAP3",435,181660,182094,"protein_coding","Hap3p"
"NP_009533.1","YBL020W","RFT1",1725,182401,184125,"protein_coding","glycolipid translocation protein"
"NP_009534.1","YBL019W","APN2",1563,184353,185915,"protein_coding","DNA-(apurinic or apyrimidinic site) lyase APN2"
"NP_009536.1","YBL017C","PEP1",4740,186844,191583,"protein_coding","type I sorting receptor"
"NP_009537.1","YBL016W","FUS3",1062,192451,193512,"protein_coding","mitogen-activated serine/threonine-protein kinase FUS3"
"NP_009538.1","YBL015W","ACH1",1581,194122,195702,"protein_coding","acetyl-CoA hydrolase"
"NP_009539.2","YBL014C","RRN6",2685,199064,201748,"protein_coding","Rrn6p"
"NP_009540.2","YBL013W","FMT1",1206,202056,203261,"protein_coding","methionyl-tRNA formyltransferase"
"NP_009542.1","YBL011W","SCT1",2280,203538,205817,"protein_coding","bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1"
"NP_009543.1","YBL010C",NA,843,206107,206949,"protein_coding","hypothetical protein"
"NP_009544.1","YBL009W","ALK2",2031,207194,209224,"protein_coding","protein kinase ALK2"
"NP_878046.1","YBL008W-A",NA,240,209409,209648,"protein_coding","hypothetical protein"
"NP_009545.2","YBL008W","HIR1",2523,209653,212175,"protein_coding","Hir1p"
"NP_009546.1","YBL007C","SLA1",3735,212632,216366,"protein_coding","cytoskeletal protein-binding protein SLA1"
"NP_009547.2","YBL006C","LDB7",543,216587,217129,"protein_coding","Ldb7p"
"NP_009548.1","YBL005W","PDR3",2931,217470,220400,"protein_coding","drug-responsive transcription factor PDR3"
"NP_009550.1","YBL005W-A",NA,1323,221330,222652,"protein_coding","gag protein"
"NP_009551.2","YBL004W","UTP20",7482,227636,235117,"protein_coding","Utp20p"
"NP_009552.1","YBL003C","HTA2",399,235394,235792,"protein_coding","histone H2A"
"NP_009553.1","YBL002W","HTB2",396,236492,236887,"protein_coding","histone H2B"
"NP_009554.1","YBL001C","ECM15",315,237153,237467,"protein_coding","Ecm15p"
"NP_009555.1","YBR001C","NTH2",2343,238941,241283,"protein_coding","alpha,alpha-trehalase NTH2"
"NP_009556.1","YBR002C","RER2",861,241708,242568,"protein_coding","ditrans,polycis-polyprenyl diphosphate synthase"
"NP_009557.1","YBR003W","COQ1",1422,242809,244230,"protein_coding","trans-hexaprenyltranstransferase"
"NP_009558.2","YBR004C","GPI18",1302,244366,245667,"protein_coding","GPI-anchor transamidase GPI18"
"NP_009559.1","YBR005W","RCR1",642,245906,246547,"protein_coding","Rcr1p"
"NP_009560.1","YBR006W","UGA2",1494,247010,248503,"protein_coding","succinate-semialdehyde dehydrogenase (NAD(P)(+))"
"NP_009561.2","YBR007C","DSF2",2211,248806,251016,"protein_coding","Dsf2p"
"NP_009562.1","YBR008C","FLR1",1647,252563,254209,"protein_coding","Flr1p"
"NP_009563.1","YBR009C","HHF1",312,255373,255684,"protein_coding","histone H4"
"NP_009564.1","YBR010W","HHT1",411,256331,256741,"protein_coding","histone H3"
"NP_009565.1","YBR011C","IPP1",864,257112,257975,"protein_coding","inorganic diphosphatase IPP1"
"NP_009568.1","YBR012W-A",NA,1323,259869,261191,"protein_coding","gag protein"
"NP_009569.1","YBR013C",NA,390,265492,265881,"protein_coding","hypothetical protein"
"NP_009570.1","YBR014C","GRX7",612,266725,267336,"protein_coding","glutathione-disulfide reductase GRX7"
"NP_009571.1","YBR015C","MNN2",1794,267710,269503,"protein_coding","alpha-1,2-mannosyltransferase MNN2"
"NP_009572.1","YBR016W",NA,387,270247,270633,"protein_coding","hypothetical protein"
"NP_009573.1","YBR017C","KAP104",2757,270947,273703,"protein_coding","Kap104p"
"NP_009574.1","YBR018C","GAL7",1101,274427,275527,"protein_coding","UDP-glucose:hexose-1-phosphate uridylyltransferase"
"NP_009575.1","YBR019C","GAL10",2100,276253,278352,"protein_coding","bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase"
"NP_009576.1","YBR020W","GAL1",1587,279021,280607,"protein_coding","galactokinase"
"NP_009577.1","YBR021W","FUR4",1902,281443,283344,"protein_coding","uracil permease"
"NP_009578.1","YBR022W","POA1",534,283738,284271,"protein_coding","ADP-ribose 1''-phosphate phosphatase"
"NP_009579.1","YBR023C","CHS3",3498,284428,287925,"protein_coding","chitin synthase CHS3"
"NP_009580.1","YBR024W","SCO2",906,289445,290350,"protein_coding","putative thioredoxin peroxidase SCO2"
"NP_009581.1","YBR025C","OLA1",1185,290681,291865,"protein_coding","Obg-like ATPase"
"NP_009582.1","YBR026C","ETR1",1143,292877,294019,"protein_coding","Etr1p"
"NP_001333724.1","YBR027C",NA,333,294024,294356,"protein_coding","hypothetical protein"
"NP_009584.1","YBR028C","YPK3",1578,294425,296002,"protein_coding","putative protein kinase YPK3"
"NP_009585.1","YBR029C","CDS1",1374,296369,297742,"protein_coding","phosphatidate cytidylyltransferase"
"NP_009586.1","YBR030W","RKM3",1659,298292,299950,"protein_coding","protein-lysine N-methyltransferase"
"NP_009587.1","YBR031W","RPL4A",1089,300166,301254,"protein_coding","ribosomal 60S subunit protein L4A"
"NP_001333725.1","YBR032W",NA,303,301519,301821,"protein_coding","hypothetical protein"
"NP_009589.1","YBR033W","EDS1",2760,301944,304703,"protein_coding","Eds1p"
"NP_009590.1","YBR034C","HMT1",1047,304930,305976,"protein_coding","protein-arginine omega-N methyltransferase HMT1"
"NP_009591.1","YBR035C","PDX3",687,306269,306955,"protein_coding","pyridoxamine-phosphate oxidase PDX3"
"NP_009592.1","YBR036C","CSG2",1233,309081,310313,"protein_coding","mannosylinositol phosphorylceramide synthase regulatory subunit"
"NP_009593.1","YBR037C","SCO1",888,310565,311452,"protein_coding","Cu-binding protein SCO1"
"NP_009594.1","YBR038W","CHS2",2892,311898,314789,"protein_coding","chitin synthase CHS2"
"NP_009595.1","YBR039W","ATP3",936,315575,316510,"protein_coding","F1F0 ATP synthase subunit gamma"
"NP_009596.1","YBR040W","FIG1",897,316968,317864,"protein_coding","Fig1p"
"NP_009597.2","YBR041W","FAT1",2010,318266,320275,"protein_coding","long-chain fatty acid transporter FAT1"
"NP_009598.1","YBR042C","CST26",1194,320416,321609,"protein_coding","putative acyltransferase"
"NP_009599.2","YBR043C","QDR3",2070,321876,323945,"protein_coding","Qdr3p"
"NP_009600.2","YBR044C","TCM62",1719,324341,326059,"protein_coding","Tcm62p"
"NP_009601.2","YBR045C","GIP1",1920,328173,330092,"protein_coding","protein phosphatase regulator GIP1"
"NP_009602.1","YBR046C","ZTA1",1005,330507,331511,"protein_coding","NADPH:quinone reductase"
"NP_009603.1","YBR047W","FMP23",528,331833,332360,"protein_coding","Fmp23p"
"NP_009605.1","YBR049C","REB1",2433,334386,336818,"protein_coding","DNA-binding protein REB1"
"NP_009606.1","YBR050C","REG2",1017,337183,338199,"protein_coding","protein phosphatase regulator REG2"
"NP_009608.1","YBR052C","RFS1",633,338720,339352,"protein_coding","flavodoxin-like fold family protein"
"NP_009609.1","YBR053C",NA,1077,339675,340751,"protein_coding","hypothetical protein"
"NP_009610.1","YBR054W","YRO2",1035,343101,344135,"protein_coding","Yro2p"
"NP_009611.1","YBR055C","PRP6",2700,344602,347301,"protein_coding","U4/U6-U5 snRNP complex subunit PRP6"
"NP_009612.1","YBR056W",NA,1506,347879,349384,"protein_coding","17-beta-hydroxysteroid dehydrogenase-like protein"
"NP_001257668.1","YBR056W-A",NA,201,351255,351455,"protein_coding","hypothetical protein"
"NP_009613.1","YBR057C","MUM2",1101,352193,353293,"protein_coding","Mum2p"
"NP_009614.2","YBR058C","UBP14",2346,353672,356017,"protein_coding","ubiquitin-specific protease UBP14"
"NP_116327.3","YBR058C-A","TSC3",243,356324,356566,"protein_coding","Tsc3p"
"NP_009615.1","YBR059C","AKL1",3327,356861,360187,"protein_coding","serine/threonine protein kinase AKL1"
"NP_009616.1","YBR060C","ORC2",1863,360652,362514,"protein_coding","origin recognition complex subunit 2"
"NP_009617.3","YBR061C","TRM7",933,364787,365719,"protein_coding","tRNA methyltransferase TRM7"
"NP_009619.1","YBR063C",NA,1215,366970,368184,"protein_coding","hypothetical protein"
"NP_009621.3","YBR065C","ECM2",1095,368584,369678,"protein_coding","Ecm2p"
"NP_009622.1","YBR066C","NRG2",663,370037,370699,"protein_coding","Nrg2p"
"NP_009623.1","YBR067C","TIP1",633,372103,372735,"protein_coding","putative lipase"
"NP_009624.4","YBR068C","BAP2",1830,373861,375690,"protein_coding","branched-chain amino acid permease BAP2"
"NP_009625.1","YBR069C","TAT1",1860,376574,378433,"protein_coding","amino acid transporter TAT1"
"NP_009626.1","YBR070C","ALG14",714,379221,379934,"protein_coding","N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14"
"NP_009627.3","YBR071W",NA,636,380411,381046,"protein_coding","hypothetical protein"
"NP_009628.1","YBR072W","HSP26",645,382030,382674,"protein_coding","chaperone protein HSP26"
"NP_878048.1","YBR072C-A",NA,162,382860,383021,"protein_coding","hypothetical protein"
"NP_009629.6","YBR073W","RDH54",2877,383112,385988,"protein_coding","DNA-dependent ATPase RDH54"
"NP_009630.3","YBR074W","PFF1",2931,386286,389216,"protein_coding","Pff1p"
"NP_009632.2","YBR076W","ECM8",1065,390227,391291,"protein_coding","Ecm8p"
"NP_009633.3","YBR077C","SLM4",489,391805,392293,"protein_coding","Slm4p"
"NP_009635.1","YBR079C","RPG1",2895,395383,398277,"protein_coding","translation initiation factor eIF3 core subunit a"
"NP_009636.3","YBR080C","SEC18",2277,398614,400890,"protein_coding","AAA family ATPase SEC18"
"NP_009637.1","YBR081C","SPT7",3999,401253,405251,"protein_coding","SAGA histone acetyltransferase complex subunit SPT7"
"NP_009639.3","YBR083W","TEC1",1461,409169,410629,"protein_coding","Tec1p"
"NP_009640.1","YBR084W","MIS1",2928,411054,413981,"protein_coding","trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1"
"NP_009642.3","YBR085W","AAC3",924,415983,416906,"protein_coding","ADP/ATP carrier protein AAC3"
"NP_061491.1","YBR085C-A",NA,258,418907,419164,"protein_coding","hypothetical protein"
"NP_009643.2","YBR086C","IST2",2841,420201,423041,"protein_coding","Ist2p"
"NP_009644.3","YBR087W","RFC5",1065,423765,424829,"protein_coding","replication factor C subunit 5"
"NP_009645.1","YBR088C","POL30",777,424990,425766,"protein_coding","proliferating cell nuclear antigen"
"NP_009647.2","YBR089C-A","NHP6B",300,426190,426489,"protein_coding","high-mobility group nucleosome-binding protein"
"NP_009649.1","YBR091C","TIM12",330,427155,427484,"protein_coding","Tim12p"
"NP_009650.1","YBR092C","PHO3",1404,427698,429101,"protein_coding","acid phosphatase PHO3"
"NP_009651.3","YBR093C","PHO5",1404,429548,430951,"protein_coding","acid phosphatase PHO5"
"NP_009652.2","YBR094W","PBY1",2262,432036,434297,"protein_coding","putative tubulin tyrosine ligase"
"NP_009653.2","YBR095C","RXT2",1293,434406,435698,"protein_coding","Rxt2p"
"NP_009654.3","YBR096W",NA,693,436021,436713,"protein_coding","hypothetical protein"
