Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
Q12036,Mitochondrial holo-[acyl-carrier-protein] synthase (Mitochondrial holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase PPT2) (PPTase),YPL148C,fatty acid biosynthetic process [GO:0006633]; protein-cofactor linkage [GO:0018065]
P33329,Serine/threonine-protein phosphatase PP-Z2 (EC 3.1.3.16),YDR436W,cellular sodium ion homeostasis [GO:0006883]
P38145,Riboflavin synthase (RS) (EC 2.5.1.9),YBR256C,riboflavin biosynthetic process [GO:0009231]
Q04383,Protein PLM2 (Plasmid maintenance protein 2),YDR501W,cellular response to DNA damage stimulus [GO:0006974]
P40395,Guanine nucleotide exchange factor subunit RIC1 (Protein RIC1) (Ribosome control protein 1) (Ric1p),YLR039C,"intracellular protein transport [GO:0006886]; retrograde transport, endosome to Golgi [GO:0042147]"
P38615,Serine/threonine-protein kinase RIM11/MSD1 (EC 2.7.11.1) (Regulator of IME2 protein 11),YMR139W,ascospore formation [GO:0030437]; cellular response to heat [GO:0034605]; cellular response to salt stress [GO:0071472]; protein phosphorylation [GO:0006468]; proteolysis [GO:0006508]
Q03792,Calpain-like protease 1 (EC 3.4.22.-) (Calpain-7) (Cysteine protease RIM13) (Regulator of IME2 protein 13),YMR154C,protein processing [GO:0016485]
P43565,Serine/threonine-protein kinase RIM15 (EC 2.7.11.1),YFL033C,age-dependent response to oxidative stress involved in chronological cell aging [GO:0001324]; cellular response to heat [GO:0034605]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; phosphorelay signal transduction system [GO:0000160]; positive regulation of autophagy [GO:0010508]; positive regulation of G1 to G0 transition [GO:1903452]; positive regulation of mitotic cell cycle phase transition [GO:1901992]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to glucose starvation [GO:0061406]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; positive regulation of transcription involved in meiotic cell cycle [GO:0051039]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]
P32445,"Single-stranded DNA-binding protein RIM1, mitochondrial (Mitochondrial ssDNA-binding protein)",YCR028C-A,mitochondrial DNA replication [GO:0006264]; mitochondrial genome maintenance [GO:0000002]; positive regulation of helicase activity [GO:0051096]; positive regulation of mitochondrial DNA replication [GO:0090297]
P38127,Mitochondrial carrier protein RIM2,YBR192W,divalent metal ion transport [GO:0070838]; mitochondrial genome maintenance [GO:0000002]; pyrimidine nucleotide import into mitochondrion [GO:1990519]; pyrimidine nucleotide transport [GO:0006864]; regulation of mitochondrial membrane potential [GO:0051881]; transmembrane transport [GO:0055085]
P38741,Meiotic activator RIM4 (Regulator of IME2 protein 4),YHL024W,"meiotic cell cycle [GO:0051321]; mRNA cis splicing, via spliceosome [GO:0045292]; premeiotic DNA replication [GO:0006279]; reciprocal meiotic recombination [GO:0007131]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; sporulation resulting in formation of a cellular spore [GO:0030435]"
P39966,Protein phosphatase 2C homolog 2 (PP2C-2) (EC 3.1.3.16),YER089C,cellular response to osmotic stress [GO:0071470]; DNA damage checkpoint [GO:0000077]; inactivation of MAPK activity [GO:0000188]; negative regulation of endoplasmic reticulum unfolded protein response [GO:1900102]; negative regulation of stress-activated MAPK cascade [GO:0032873]; peptidyl-threonine dephosphorylation [GO:0035970]; protein dephosphorylation [GO:0006470]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]
P53833,Ribonucleases P/MRP protein subunit POP3 (RNA-processing protein POP3) (RNases MRP/P 22.6 kDa subunit),YNL282W,"intronic box C/D snoRNA processing [GO:0034965]; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]; RNA phosphodiester bond hydrolysis, endonucleolytic [GO:0090502]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]"
P41812,Ribonucleases P/MRP protein subunit POP1 (EC 3.1.26.5) (RNA-processing protein POP1) (RNases P/MRP 100.4 kDa subunit),YNL221C,"intronic box C/D snoRNA processing [GO:0034965]; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]; rRNA processing [GO:0006364]; tRNA 5'-leader removal [GO:0001682]; tRNA processing [GO:0008033]"
Q07844,Ribosome biogenesis ATPase RIX7,YLL034C,positive regulation of telomerase activity [GO:0051973]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]; ribosome biogenesis [GO:0042254]
P32264,Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase),YDR300C,L-proline biosynthetic process [GO:0055129]; proline biosynthetic process [GO:0006561]; ribophagy [GO:0034517]
Q00723,Pre-mRNA-splicing factor 38 (Pre-mRNA-processing factor 38),YGR075C,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]
P23394,Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 (EC 3.6.4.13) (Helicase CA8),YDR243C,mRNA 5'-splice site recognition [GO:0000395]
P33297,26S proteasome regulatory subunit 6A (Tat-binding protein homolog 1) (TBP-1),YOR117W,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent protein catabolic process [GO:0006511]
P54885,Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (GSA dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase),YOR323C,L-proline biosynthetic process [GO:0055129]; proline biosynthetic process [GO:0006561]
Q03338,U4/U6 small nuclear ribonucleoprotein PRP3 (Pre-mRNA-splicing factor 3),YDR473C,"mRNA splicing, via spliceosome [GO:0000398]"
P28004,Pre-mRNA-processing protein 45,YAL032C,generation of catalytic spliceosome for second transesterification step [GO:0000350]
P21372,Pre-mRNA-processing ATP-dependent RNA helicase PRP5 (EC 3.6.4.13),YBR237W,mRNA branch site recognition [GO:0000348]
P33334,Pre-mRNA-splicing factor 8,YHR165C,generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]; mRNA 5'-splice site recognition [GO:0000395]; spliceosomal tri-snRNP complex assembly [GO:0000244]
P40968,Pre-mRNA-processing factor 17 (Cell division control protein 40),YDR364C,generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]; mRNA branch site recognition [GO:0000348]
P28708,Serine/threonine-protein kinase PRR1 (EC 2.7.11.1) (Pheromone response regulator 1),YKL116C,negative regulation of conjugation with cellular fusion [GO:0031138]; negative regulation of transcription from RNA polymerase II promoter by pheromones [GO:0046020]; protein phosphorylation [GO:0006468]
Q12310,Serine/threonine-protein kinase PRR2 (EC 2.7.11.1) (Pheromone response regulator 2),YDL214C,intracellular signal transduction [GO:0035556]; negative regulation of conjugation with cellular fusion [GO:0031138]; negative regulation of transcription from RNA polymerase II promoter by pheromones [GO:0046020]; protein phosphorylation [GO:0006468]
P32524,Pre-mRNA-splicing factor PRP21,YJL203W,"mRNA splicing, via spliceosome [GO:0000398]"
P53549,26S proteasome subunit RPT4 (26S protease subunit SUG2) (Proteasomal cap subunit),YOR259C,nucleotide-excision repair [GO:0006289]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent ERAD pathway [GO:0030433]
P33298,26S proteasome regulatory subunit 6B homolog (Protein YNT1) (Tat-binding homolog 2),YDR394W,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent protein catabolic process [GO:0006511]
P23724,Proteasome subunit beta type-6 (EC 3.4.25.1) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5),YBL041W,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
P22141,Proteasome subunit beta type-4 (EC 3.4.25.1) (Macropain subunit C11) (Multicatalytic endopeptidase complex subunit C11) (Proteasome component C11) (Proteinase YSCE subunit 11),YER012W,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
P30656,Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain subunit PRE2) (Multicatalytic endopeptidase complex subunit PRE2) (Proteasome component PRE2) (Proteinase YSCE subunit PRE2),YPR103W,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome core complex assembly [GO:0080129]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
P07244,"Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]",YGL234W,'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleobase metabolic process [GO:0006144]; purine nucleotide biosynthetic process [GO:0006164]
P36105,60S ribosomal protein L14-A (Large ribosomal subunit protein eL14-A),YKL006W,cytoplasmic translation [GO:0002181]; macroautophagy [GO:0016236]; ribosomal large subunit biogenesis [GO:0042273]
P38754,60S ribosomal protein L14-B (Large ribosomal subunit protein eL14-B),YHL001W,cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]
P29461,Tyrosine-protein phosphatase 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 2) (PTPase 2),YOR208W,inactivation of MAPK activity [GO:0000188]; maintenance of protein location in nucleus [GO:0051457]; peptidyl-tyrosine dephosphorylation [GO:0035335]; regulation of sporulation [GO:0043937]
P21672,Ribonucleoside-diphosphate reductase large chain 2 (EC 1.17.4.1) (Ribonucleotide reductase DNA damage-inducible regulatory subunit 2) (Ribonucleotide reductase R1 subunit 2) (Ribonucleotide reductase large subunit 2),YIL066C,deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]
P40327,26S proteasome regulatory subunit 4 homolog (Tat-binding homolog 5),YDL007W,cellular protein-containing complex localization [GO:0034629]; nonfunctional rRNA decay [GO:0070651]; peptide catabolic process [GO:0043171]; positive regulation of protein catabolic process [GO:0045732]; proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent protein catabolic process [GO:0006511]
P25451,Proteasome subunit beta type-3 (EC 3.4.25.1) (Macropain subunit PUP3) (Multicatalytic endopeptidase complex subunit PUP3) (Proteasome component PUP3),YER094C,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
