acc,locus_tag,old_locus_tag,length_nt,start,end,type,annotation
WP_012289087.1,VNG_RS00300,,291,67488,67778,protein_coding,hypothetical protein
WP_010902005.1,VNG_RS00305,VNG0073C,297,67908,68204,protein_coding,hypothetical protein
WP_010902006.1,VNG_RS00310,VNG0075H,225,68290,68514,protein_coding,ArsR family transcriptiol regulator
WP_012289088.1,VNG_RS00315,VNG0077H,1110,69640,70749,protein_coding,DUF4330 domain-containing protein
WP_049892472.1,VNG_RS00320,,456,70821,71276,protein_coding,hypothetical protein
WP_010902010.1,VNG_RS00325,VNG0080H,432,71317,71748,protein_coding,hypothetical protein
WP_012289090.1,VNG_RS00330,VNG0081G,792,71913,72704,protein_coding,molybdopterin synthase
WP_010902012.1,VNG_RS00335,VNG0084G,837,72708,73544,protein_coding,molybdopterin-synthase adenylyltransferase MoeB
WP_012289091.1,VNG_RS00340,VNG0085G,1074,73669,74742,protein_coding,"GTP 3',8-cyclase MoaA"
WP_010902014.1,VNG_RS00345,VNG0086G,1896,74752,76647,protein_coding,molybdopterin biosynthesis protein
WP_010902015.1,VNG_RS00350,VNG0090G,1224,76644,77867,protein_coding,molybdopterin molybdenumtransferase MoeA
WP_010902016.1,VNG_RS00355,VNG0089G,738,77923,78660,protein_coding,protein-L-isoaspartate O-methyltransferase
WP_010902017.1,VNG_RS00360,VNG0091C,915,78683,79597,protein_coding,hypothetical protein
WP_010902018.1,VNG_RS00365,VNG0094C,666,79662,80327,protein_coding,hypothetical protein
WP_010902019.1,VNG_RS00370,VNG0096C,942,80387,81328,protein_coding,aminopeptidase
WP_010902020.1,VNG_RS00375,VNG0095G,1008,81452,82459,protein_coding,glyceraldehyde-3-phosphate dehydrogese
WP_010902021.1,VNG_RS00380,VNG0097G,387,82540,82926,protein_coding,Hsp20/alpha crystallin family protein
WP_010902022.1,VNG_RS00385,VNG0098G,858,82932,83789,protein_coding,RimK family alpha-L-glutamate ligase
WP_010902023.1,VNG_RS00390,VNG0099G,531,83885,84415,protein_coding,50S ribosomal protein L16
WP_012289092.1,VNG_RS00395,VNG0101G,195,84617,84811,protein_coding,cold-shock protein
WP_010902025.1,VNG_RS00400,VNG0102C,657,84927,85583,protein_coding,HAD family hydrolase
WP_010902026.1,VNG_RS00405,VNG0104G,972,85640,86611,protein_coding,C-termil binding protein
WP_010902027.1,VNG_RS00410,VNG0105H,486,86734,87219,protein_coding,hypothetical protein
WP_010902028.1,VNG_RS00415,VNG0106G,1500,87668,89167,protein_coding,SAM-dependent D methyltransferase
WP_010902029.1,VNG_RS00420,VNG0107G,1428,89160,90587,protein_coding,restriction endonuclease subunit S
WP_010902030.1,VNG_RS00425,VNG0108G,3003,90639,93641,protein_coding,type I restriction endonuclease subunit R
WP_010902031.1,VNG_RS00430,VNG0110C,726,93634,94359,protein_coding,M48 family peptidase
WP_049928171.1,VNG_RS00440,,246,95608,95853,protein_coding,type IV pilin
WP_012289545.1,VNG_RS00445,,1167,96010,97176,protein_coding,ISH3 family transposase ISH3B
WP_010902033.1,VNG_RS00450,VNG0113H,678,97444,98121,protein_coding,helix-turn-helix domain-containing protein
WP_010902034.1,VNG_RS00455,VNG0115G,783,98226,99008,protein_coding,D(P)-dependent oxidoreductase
WP_049928173.1,VNG_RS00460,,276,99079,99354,protein_coding,hypothetical protein
WP_012289254.1,VNG_RS00465,,1167,99375,100541,protein_coding,ISH3 family transposase ISH3C
WP_010902035.1,VNG_RS00470,VNG0116H,825,100891,101715,protein_coding,hypothetical protein
WP_049892474.1,VNG_RS00475,,189,101830,102018,protein_coding,hypothetical protein
WP_010902036.1,VNG_RS00480,VNG0117H,276,102034,102309,protein_coding,hypothetical protein
WP_010902037.1,VNG_RS00485,VNG0118H,384,102309,102692,protein_coding,hypothetical protein
WP_010902040.1,VNG_RS00495,VNG0121H,492,103514,104005,protein_coding,DUF192 domain-containing protein
WP_010902041.1,VNG_RS00500,VNG0123G,1929,104073,106001,protein_coding,ABC transporter ATP-binding protein
WP_012289098.1,VNG_RS00505,VNG0124C,744,106048,106791,protein_coding,creatinise
WP_010902043.1,VNG_RS00510,VNG0125H,387,106803,107189,protein_coding,hypothetical protein
WP_010902044.1,VNG_RS00515,VNG0127C,330,107233,107562,protein_coding,hypothetical protein
WP_012289099.1,VNG_RS00520,VNG0128C,768,107661,108428,protein_coding,D(P)-dependent oxidoreductase
WP_010902046.1,VNG_RS00525,VNG0129G,870,108694,109563,protein_coding,protease
WP_010902047.1,VNG_RS00530,VNG0130H,183,109649,109831,protein_coding,hypothetical protein
WP_010902048.1,VNG_RS00535,VNG0132C,615,109834,110448,protein_coding,hypothetical protein
WP_010902049.1,VNG_RS00545,VNG0133G,1425,110769,112193,protein_coding,replication protein A
WP_010902050.1,VNG_RS00550,VNG0134G,453,112247,112699,protein_coding,aldolase
WP_010902051.1,VNG_RS00555,VNG0136G,1017,112696,113712,protein_coding,histone deacetylase
WP_010902052.1,VNG_RS00560,VNG0137G,1359,113691,115049,protein_coding,tR CCA-pyrophosphorylase
WP_049928176.1,VNG_RS00575,,219,115596,115814,protein_coding,hypothetical protein
WP_010902054.1,VNG_RS13245,VNG0139H,525,116234,116758,protein_coding,hypothetical protein
WP_010902056.1,VNG_RS00585,VNG0141H,267,117313,117579,protein_coding,hypothetical protein
WP_010902057.1,VNG_RS00590,VNG0142C,405,117867,118271,protein_coding,transcriptiol regulator
WP_010902058.1,VNG_RS13250,VNG0143H,414,118287,118700,protein_coding,hypothetical protein
WP_010902059.1,VNG_RS00595,VNG0144H,438,118615,119052,protein_coding,DUF302 domain-containing protein
WP_010902060.1,VNG_RS00600,VNG0146H,237,119518,119754,protein_coding,hypothetical protein
WP_012289104.1,VNG_RS00605,VNG0147C,429,119759,120187,protein_coding,nickel-responsive regulator
WP_010902063.1,VNG_RS00610,VNG0149G,2274,120602,122875,protein_coding,cation-transporting P-type ATPase
WP_010902064.1,VNG_RS00615,VNG0150H,672,122890,123561,protein_coding,cytochrome c biogenesis protein
WP_012289107.1,VNG_RS00620,,534,123558,124091,protein_coding,TlpA family protein disulfide reductase
WP_010902066.1,VNG_RS00625,VNG0152G,669,124088,124756,protein_coding,SCO family protein
WP_010902067.1,VNG_RS00630,VNG0153C,1089,125012,126100,protein_coding,hypothetical protein
WP_010902068.1,VNG_RS00635,VNG0154G,1398,126179,127576,protein_coding,D(P)/FAD-dependent oxidoreductase
WP_010902069.1,VNG_RS00640,VNG0156C,699,127692,128390,protein_coding,helix-turn-helix domain-containing protein
WP_010902070.1,VNG_RS00645,VNG0157G,1233,128484,129716,protein_coding,MFS transporter
WP_010902071.1,VNG_RS00650,VNG0158G,957,129737,130693,protein_coding,sugar kise
WP_010902072.1,VNG_RS00655,VNG0159G,1980,130717,132696,protein_coding,D mismatch repair protein MutL
WP_010902073.1,VNG_RS00660,VNG0160G,2595,132683,135277,protein_coding,PAS domain S-box protein
WP_010902074.1,VNG_RS00665,VNG0161G,1290,135504,136793,protein_coding,glutamate dehydrogese
WP_012289110.1,VNG_RS00670,VNG0162G,1617,136862,138478,protein_coding,acyl-CoA synthetase
WP_010902076.1,VNG_RS00675,VNG0163G,2616,138494,141109,protein_coding,D mismatch repair protein MutS
WP_010902077.1,VNG_RS00680,VNG0164G,1020,141181,142200,protein_coding,hydrogese expression protein
WP_010902078.1,VNG_RS00685,VNG0166G,762,142335,143096,protein_coding,"proteasome endopeptidase complex,subunit alpha"
WP_012289111.1,VNG_RS00690,,333,143165,143497,protein_coding,thioredoxin
WP_010902080.1,VNG_RS00695,VNG0168H,705,143498,144202,protein_coding,hypothetical protein
WP_012289112.1,VNG_RS00700,VNG0170C,663,144354,145016,protein_coding,DsbA family protein
WP_010902082.1,VNG_RS00705,VNG0171C,723,145185,145907,protein_coding,endonuclease NucS
WP_010902083.1,VNG_RS00710,VNG0172G,2592,145879,148470,protein_coding,D mismatch repair protein MutS
WP_049892477.1,VNG_RS00715,VNG0174G,2403,148766,151168,protein_coding,amino acid permease
WP_010902085.1,VNG_RS00720,VNG0175G,687,151174,151860,protein_coding,TrkA family potassium uptake protein
WP_010902086.1,VNG_RS00725,VNG0176H,741,151875,152615,protein_coding,N-acetyltransferase
WP_010902087.1,VNG_RS00730,VNG0177G,591,152767,153357,protein_coding,50S ribosomal protein L15e
WP_010902088.1,VNG_RS00735,VNG0178H,981,153490,154470,protein_coding,hypothetical protein
WP_010902089.1,VNG_RS00740,VNG0179C,903,154694,155596,protein_coding,hypothetical protein
WP_010902090.1,VNG_RS00745,VNG0180G,825,155681,156505,protein_coding,halorhodopsin
WP_010902091.1,VNG_RS00750,VNG0181G,819,156613,157431,protein_coding,lipoate--protein ligase family protein
WP_010902092.1,VNG_RS00755,VNG0183G,828,157481,158308,protein_coding,endonuclease IV
WP_012289114.1,VNG_RS00760,VNG0184H,813,158480,159292,protein_coding,SAM-dependent methyltransferase
WP_010902094.1,VNG_RS00765,VNG0186G,1092,159342,160433,protein_coding,aminopeptidase
WP_012289115.1,VNG_RS00770,VNG0187H,648,160464,161111,protein_coding,hypothetical protein
WP_010902096.1,VNG_RS00775,VNG0188H,1380,161207,162586,protein_coding,MFS transporter
WP_010902097.1,VNG_RS00780,VNG0189C,1440,162656,164095,protein_coding,HD domain-containing protein
WP_010902098.1,VNG_RS00785,VNG0190C,963,164151,165113,protein_coding,TIGR00269 family protein
WP_012289116.1,VNG_RS00790,VNG0192G,1182,165152,166333,protein_coding,cell division protein FtsZ
WP_010902100.1,VNG_RS00795,VNG0194H,168,166336,166503,protein_coding,"ribbon-helix-helix protein, CopG family"
WP_012289117.1,VNG_RS00800,VNG0195H,519,166681,167199,protein_coding,hypothetical protein
WP_010902102.1,VNG_RS00810,VNG0196H,261,167794,168054,protein_coding,hypothetical protein
WP_010902103.1,VNG_RS00815,VNG0197C,1029,168184,169212,protein_coding,TIGR00374 family protein
WP_010902104.1,VNG_RS13255,VNG0198H,669,169721,170389,protein_coding,hypothetical protein
WP_010902105.1,VNG_RS00830,VNG0199H,369,170386,170754,protein_coding,hypothetical protein
WP_010902106.1,VNG_RS00835,VNG0200C,678,170747,171424,protein_coding,hypothetical protein
WP_012289120.1,VNG_RS00840,,504,171424,171927,protein_coding,hypothetical protein
WP_010902107.1,VNG_RS00845,VNG0204H,723,171924,172646,protein_coding,hypothetical protein
WP_049928189.1,VNG_RS00855,,492,174472,174963,protein_coding,hypothetical protein
WP_081422756.1,VNG_RS00860,VNG0207H,411,175061,175471,protein_coding,hypothetical protein
WP_010902111.1,VNG_RS13260,VNG0208H,450,175471,175920,protein_coding,hypothetical protein
WP_010902112.1,VNG_RS00870,VNG0209H,1035,175913,176947,protein_coding,integrase
WP_010902113.1,VNG_RS13265,VNG0212H,768,177587,178354,protein_coding,DUF4352 domain-containing protein
WP_010903158.1,VNG_RS00875,VNG0213H,993,178329,179321,protein_coding,IS5 family transposase ISH11
WP_081422745.1,VNG_RS13270,,342,179352,179693,protein_coding,DUF4352 domain-containing protein
WP_010902115.1,VNG_RS00880,VNG0215C,2574,180916,183489,protein_coding,hypothetical protein
WP_049928196.1,VNG_RS00885,VNG0217H,474,184492,184965,protein_coding,hypothetical protein
WP_010902118.1,VNG_RS00890,VNG0218G,1647,184985,186631,protein_coding,type II secretion system protein
WP_010902119.1,VNG_RS00895,VNG0219H,558,187174,187731,protein_coding,DUF4129 domain-containing protein
WP_010902120.1,VNG_RS00900,VNG0220H,573,187731,188303,protein_coding,hypothetical protein
WP_010902121.1,VNG_RS00905,VNG0222C,1263,188303,189565,protein_coding,DUF58 domain-containing protein
WP_049892480.1,VNG_RS00910,,504,189553,190056,protein_coding,hypothetical protein
WP_010902122.1,VNG_RS00915,VNG0223G,957,190053,191009,protein_coding,ATPase AAA
WP_010902123.1,VNG_RS00925,VNG0226G,1071,191310,192380,protein_coding,PDZ domain-containing protein
WP_012289124.1,VNG_RS00930,VNG0227H,363,192372,192734,protein_coding,DUF192 domain-containing protein
WP_010902125.1,VNG_RS00935,VNG0228G,552,192826,193377,protein_coding,GMP synthase
WP_010902126.1,VNG_RS00940,VNG0230C,1875,193384,195258,protein_coding,DUF2070 domain-containing protein
WP_049892481.1,VNG_RS00945,VNG0231C,684,195301,195984,protein_coding,MBL fold hydrolase
WP_010902128.1,VNG_RS00950,VNG0233H,240,196042,196281,protein_coding,DUF3194 domain-containing protein
WP_010902129.1,VNG_RS00955,VNG0234C,378,196288,196665,protein_coding,prefoldin subunit beta
WP_012289126.1,VNG_RS00960,,258,196789,197046,protein_coding,hypothetical protein
WP_010902130.1,VNG_RS00965,VNG0237H,135,197052,197186,protein_coding,D-directed R polymerase subunit P
WP_010902131.1,VNG_RS00970,VNG0239C,318,197195,197512,protein_coding,50S ribosomal protein L37Ae
WP_010902132.1,VNG_RS00975,VNG0238H,219,197630,197848,protein_coding,hypothetical protein
WP_010902133.1,VNG_RS00980,VNG0240C,723,197876,198598,protein_coding,hypothetical protein
WP_010902134.1,VNG_RS00985,VNG0243C,1305,198651,199955,protein_coding,tR pseudouridine(13) synthase TruD
WP_010902135.1,VNG_RS00990,VNG0240a,339,199955,200293,protein_coding,peptidyl-tR hydrolase
WP_010902136.1,VNG_RS00995,VNG0244H,615,200377,200991,protein_coding,hypothetical protein
WP_010902137.1,VNG_RS01000,VNG0245G,588,201025,201612,protein_coding,deoxycytidine triphosphate deamise
WP_010902138.1,VNG_RS01005,VNG0247C,909,201609,202517,protein_coding,helix-turn-helix domain-containing protein
WP_010902139.1,VNG_RS01010,VNG0248C,765,202509,203273,protein_coding,hypothetical protein
WP_010902140.1,VNG_RS01015,VNG0249G,2433,203276,205708,protein_coding,DUF5059 domain-containing protein
WP_010902141.1,VNG_RS01020,VNG0250C,750,205790,206539,protein_coding,phosphopantothete/pantothete synthetase
WP_010902142.1,VNG_RS01025,VNG0251C,840,206579,207418,protein_coding,sugar kise
WP_010902143.1,VNG_RS01030,VNG0252C,711,207474,208184,protein_coding,geranylgeranylglyceryl/heptaprenylglyceryl phosphate synthase
WP_010902144.1,VNG_RS01035,VNG0254G,972,208286,209257,protein_coding,transcription initiation factor IIB 2
WP_010902145.1,VNG_RS01040,VNG0255C,600,209439,210038,protein_coding,ribonuclease H
WP_010902146.1,VNG_RS01045,VNG0256H,552,210031,210582,protein_coding,hypothetical protein
WP_010902147.1,VNG_RS01050,VNG0258H,351,210639,210989,protein_coding,PadR family transcriptiol regulator
WP_010902148.1,VNG_RS01055,VNG0259G,534,211101,211634,protein_coding,inorganic pyrophosphatase
WP_010902150.1,VNG_RS01060,VNG0262C,1116,211896,213011,protein_coding,bifunctiol oligoribonuclease/PAP phosphatase Nr
WP_010902151.1,VNG_RS01065,VNG0264H,1359,213067,214425,protein_coding,nucleotide pyrophosphatase
WP_010902152.1,VNG_RS01070,VNG0265G,1074,214442,215515,protein_coding,cell division protein
WP_012289128.1,VNG_RS01075,VNG0266H,432,215637,216068,protein_coding,hypothetical protein
WP_010902154.1,VNG_RS01080,VNG0267H,894,216068,216961,protein_coding,D(P)-dependent oxidoreductase
WP_010902155.1,VNG_RS01085,VNG0268C,1089,216982,218070,protein_coding,aldo/keto reductase
WP_012289129.1,VNG_RS01090,VNG0270C,1203,218130,219332,protein_coding,MFS transporter
WP_010902157.1,VNG_RS01095,VNG0271C,1095,219360,220454,protein_coding,glycosyl transferase family 2
WP_010902158.1,VNG_RS01100,VNG0272H,468,220482,220949,protein_coding,hypothetical protein
WP_010902159.1,VNG_RS01105,VNG0274C,606,221005,221610,protein_coding,CoA pyrophosphatase
WP_010902160.1,VNG_RS01110,VNG0277G,1626,221649,223274,protein_coding,FAD-dependent oxidoreductase
WP_012289131.1,VNG_RS01115,,804,223390,224193,protein_coding,LLM class flavin-dependent oxidoreductase
WP_010902162.1,VNG_RS01120,VNG0281G,1122,224467,225588,protein_coding,FAD-binding oxidoreductase
WP_010902163.1,VNG_RS01125,VNG0283C,435,225590,226024,protein_coding,Hsp20/alpha crystallin family protein
WP_049928204.1,VNG_RS01130,,804,226296,227099,protein_coding,hypothetical protein
WP_010902165.1,VNG_RS01135,VNG0284C,1695,227135,228829,protein_coding,radical SAM protein
WP_010902166.1,VNG_RS01140,VNG0285C,390,229052,229441,protein_coding,IS200/IS605 family transposase ISH22
WP_010902167.1,VNG_RS01145,VNG0286C,1155,229443,230597,protein_coding,transposase
WP_010902168.1,VNG_RS01150,VNG0287a,429,230650,231078,protein_coding,deoxyribonuclease
WP_010902169.1,VNG_RS01155,VNG0289H,663,231155,231817,protein_coding,YkgJ family cysteine cluster protein
WP_010902170.1,VNG_RS01160,VNG0291H,783,231863,232645,protein_coding,MBL fold hydrolase
WP_010902171.1,VNG_RS01165,VNG0293H,270,232683,232952,protein_coding,MarR family transcriptiol regulator
WP_012289133.1,VNG_RS01170,VNG0294G,705,233137,233841,protein_coding,methyltransferase domain-containing protein
WP_010902173.1,VNG_RS01175,VNG0296H,918,233894,234811,protein_coding,glycosyl transferase family 2
WP_010902174.1,VNG_RS01180,VNG0297H,819,234808,235626,protein_coding,amidohydrolase
WP_010902175.1,VNG_RS01185,VNG0298H,606,235698,236303,protein_coding,hypothetical protein
WP_012289134.1,VNG_RS01190,VNG0300C,765,236318,237082,protein_coding,S-adenosylmethionine hydroxide adenosyltransferase
WP_010902177.1,VNG_RS01195,VNG0301C,534,237133,237666,protein_coding,nicotimide-nucleotide adenylyltransferase
WP_010902178.1,VNG_RS01200,VNG0303G,2109,237843,239951,protein_coding,ATP-dependent protease LonB
WP_012289136.1,VNG_RS01205,VNG0306C,450,240007,240456,protein_coding,methylated-D--[protein]-cysteine S-methyltransferase
WP_010902180.1,VNG_RS01210,VNG0305G,756,240541,241296,protein_coding,indole-3-glycerol-phosphate synthase
WP_010902181.1,VNG_RS01215,VNG0307G,1293,241293,242585,protein_coding,tryptophan synthase subunit beta
WP_010902182.1,VNG_RS01220,VNG0308G,831,242582,243412,protein_coding,tryptophan synthase subunit alpha
WP_010902183.1,VNG_RS01225,VNG0309C,798,243437,244234,protein_coding,fructose-bisphosphate aldolase
WP_010902184.1,VNG_RS01230,VNG0311H,402,244231,244632,protein_coding,hypothetical protein
WP_010902185.1,VNG_RS01235,VNG0310C,1164,244639,245802,protein_coding,3-dehydroquite synthase II
WP_012289138.1,VNG_RS01240,VNG0312H,411,245809,246219,protein_coding,zinc ribbon domain-containing protein
WP_012289139.1,VNG_RS01245,VNG0314G,681,246267,246947,protein_coding,3-dehydroquise
WP_010902188.1,VNG_RS01250,VNG0315G,960,247008,247967,protein_coding,transcription initiation factor IIB 2
WP_010902189.1,VNG_RS01255,VNG0316C,714,248258,248971,protein_coding,cobalamin-binding protein
WP_010902190.1,VNG_RS01260,VNG0318G,1845,248973,250817,protein_coding,glycosyl transferase
WP_010902191.1,VNG_RS01265,VNG0319H,243,251021,251263,protein_coding,hypothetical protein
WP_010902192.1,VNG_RS01270,VNG0320H,612,251273,251884,protein_coding,MarR family transcriptiol regulator
WP_010902193.1,VNG_RS01275,VNG0321G,1179,251940,253118,protein_coding,SPFH/Band 7/PHB domain protein
WP_010902194.1,VNG_RS01280,VNG0322H,510,253158,253667,protein_coding,NfeD family protein
WP_010902196.1,VNG_RS01285,VNG0324G,1740,253914,255653,protein_coding,pyruvate kise
WP_010902197.1,VNG_RS01290,VNG0326G,2070,255742,257811,protein_coding,methionine--tR ligase
WP_010902198.1,VNG_RS01295,VNG0327G,1068,257872,258939,protein_coding,tyrosine decarboxylase Mf
WP_010902199.1,VNG_RS01300,VNG0329G,1287,258965,260251,protein_coding,peptidase M48
WP_010902200.1,VNG_RS01305,VNG0330G,2259,260291,262549,protein_coding,"pyruvate, water dikise"
WP_010902201.1,VNG_RS01310,VNG0331H,390,262683,263072,protein_coding,hypothetical protein
WP_010902202.1,VNG_RS01315,VNG0332C,906,263073,263978,protein_coding,PhzF family phezine biosynthesis protein
WP_010902203.1,VNG_RS01320,VNG0335G,693,264253,264945,protein_coding,phosphoribosyltransferase
WP_010890432.1,VNG_RS01330,VNG0337H,1275,265595,266869,protein_coding,IS4 family transposase ISH8B
WP_010902206.1,VNG_RS01340,VNG0339H,702,267340,268041,protein_coding,hypothetical protein
WP_010902207.1,VNG_RS01345,VNG0340C,861,268046,268906,protein_coding,segregation/condensation protein A
WP_010902208.1,VNG_RS01350,VNG0342G,3573,268899,272471,protein_coding,chromosome segregation protein SMC
WP_010902209.1,VNG_RS01355,VNG0343H,285,272493,272777,protein_coding,hypothetical protein
WP_010902210.1,VNG_RS01360,VNG0345G,1488,272907,274394,protein_coding,Asp-tR(Asn)/Glu-tR(Gln) amidotransferase GatCAB subunit B
WP_012289140.1,VNG_RS01365,,393,274440,274832,protein_coding,hypothetical protein
WP_010902212.1,VNG_RS01370,VNG0347H,483,274891,275373,protein_coding,hypothetical protein
WP_010902213.1,VNG_RS01375,VNG0349G,2490,275494,277983,protein_coding,D topoisomerase I
WP_012289141.1,VNG_RS01380,VNG0351C,1269,278144,279412,protein_coding,hypothetical protein
WP_010902215.1,VNG_RS01385,VNG0352H,219,279446,279664,protein_coding,hypothetical protein
