Q9HQ90,Multifunctional fusion protein [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)],VNG_1272C,nicotinamide nucleotide metabolic process [GO:0046496]
Q9HP32,CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase),VNG_1830G,'de novo' CTP biosynthetic process [GO:0044210]; CTP biosynthetic process [GO:0006241]; glutamine metabolic process [GO:0006541]; pyrimidine nucleobase biosynthetic process [GO:0019856]
Q9HHE4,Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2),VNG_5084G; VNG_5213G; VNG_6081G; VNG_6445G,isoprenoid biosynthetic process [GO:0008299]
P09737,Superoxide dismutase [Mn] 1 (EC 1.15.1.1),VNG_1190G,
O73955,Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase) (Peroxidase/catalase),VNG_6294G,cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]
Q9HP27,Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS),VNG_1835G,threonyl-tRNA aminoacylation [GO:0006435]
Q9HN88,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),VNG_2203G,5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]
Q9HQ46,Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme),VNG_1335G,DNA repair [GO:0006281]; protein-chromophore linkage [GO:0018298]
P33518,Cytochrome c oxidase polypeptide 1 (EC 1.9.3.1) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I),VNG_0657G,aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]
P0DMI3,Sensory rhodopsin I transducer (HTR-I) (Methyl-accepting phototaxis protein I) (MPP-I),VNG_1659G,chemotaxis [GO:0006935]; protein-chromophore linkage [GO:0018298]; signal transduction [GO:0007165]
Q9HME1,Coenzyme F420:L-glutamate ligase (EC 6.3.2.31) (EC 6.3.2.34) (Coenzyme F420-0:L-glutamate ligase) (Coenzyme F420-1:gamma-L-glutamate ligase),VNG_2586C,coenzyme biosynthetic process [GO:0009108]; F420-0 metabolic process [GO:0052645]
Q9HPA7,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase),VNG_1724G,AMP salvage [GO:0044209]
Q9HP43,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain),VNG_1814G,'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]
Q9HNE6,"Probable beta-carotene 15,15'-dioxygenase Blh (EC 1.13.11.63) (Brp-like homolog)",VNG_2136G,carotene catabolic process [GO:0016121]; retinal metabolic process [GO:0042574]
Q9HMD2,Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2),VNG_2598G,glutamine catabolic process [GO:0006543]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine metabolic process [GO:0008614]; vitamin B6 biosynthetic process [GO:0042819]
Q9HQU4,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),VNG_1001G,GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]
Q9HQ72,Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase),VNG_1299C,thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]; tRNA 4-thiouridine biosynthesis [GO:0002937]
P13553,50S ribosomal protein L10 (Acidic ribosomal protein P0 homolog) (L10e),VNG_1104G,cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]
Q9HQJ3,50S ribosomal protein L13,VNG_1138G,negative regulation of translation [GO:0017148]; translation [GO:0006412]
O24787,50S ribosomal protein L14 (HHAL14),VNG_1701G,translation [GO:0006412]
P61414,Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29),VNG_0243.1,translation [GO:0006412]
Q9HQI1,Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS),VNG_1153G,glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]
Q9HNJ6,Probable ribosome biogenesis protein VNG_2075C,VNG_2075C,rRNA processing [GO:0006364]
Q9HQL9,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS),VNG_1097G,cysteinyl-tRNA aminoacylation [GO:0006423]
Q9HMK4,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),VNG_2504G,phenylalanyl-tRNA aminoacylation [GO:0006432]
Q9HME3,Protein translation factor SUI1 homolog,VNG_2584C,formation of translation preinitiation complex [GO:0001731]; regulation of translation [GO:0006417]; translation reinitiation [GO:0002188]
Q9HQB2,5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase),VNG_1241G,
Q9HN24,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),VNG_2283G,alanyl-tRNA aminoacylation [GO:0006419]; tRNA modification [GO:0006400]
Q9HPP1,Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta),VNG_1541G,tricarboxylic acid cycle [GO:0006099]
Q9HRT7,30S ribosomal protein S27e,VNG_0550G,ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
Q06842,50S ribosomal protein L23,VNG_1691G,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q9HNF4,Riboflavin kinase (RFK) (EC 2.7.1.161) (CTP-dependent riboflavin kinase) (CTP:riboflavin 5'-phosphotransferase) (Flavokinase),VNG_2126C,FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]
Q9HPB7,50S ribosomal protein L32e (HL5),VNG_1711G,DNA repair [GO:0006281]; translation [GO:0006412]
Q9V2W0,50S ribosomal protein L18e (HeL18),VNG_1137G,translation [GO:0006412]
P15008,50S ribosomal protein L22 (HHal22) (HL23),VNG_1695G,cytoplasmic translation [GO:0002181]
P61120,50S ribosomal protein L24e,VNG_1159G,assembly of large subunit precursor of preribosome [GO:1902626]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q9HPB6,50S ribosomal protein L19e,VNG_1713G,translation [GO:0006412]
Q9HQJ5,30S ribosomal protein S11,VNG_1134G,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]"
P48854,30S ribosomal protein S10,VNG_2648G,translation [GO:0006412]
P05969,50S ribosomal protein L11,VNG_1108G,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q9HSL2,50S ribosomal protein L15e,VNG_0177G,cytoplasmic translation [GO:0002181]
P05768,50S ribosomal protein L12 (HL20) (Ribosomal protein 'A'),VNG_1103G,translational elongation [GO:0006414]
Q9HMH9,Dihydroorotase (DHOase) (EC 3.5.2.3),VNG_2533G,'de novo' UMP biosynthetic process [GO:0044205]
Q9HMK2,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase),VNG_2507G,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; pyrimidine ribonucleotide biosynthetic process [GO:0009220]
Q9HS16,PyrE-like protein,VNG_0448G,nucleoside metabolic process [GO:0009116]
Q9HPB3,50S ribosomal protein L30,VNG_1716G,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; translation [GO:0006412]"
Q9HNG2,Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10),VNG_2118G,'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116]
Q9P9M3,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase),VNG_1673G,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]
P22665,50S ribosomal protein L29 (HHAL29),VNG_1698G,translation [GO:0006412]
Q9HRM5,"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)",VNG_0630G,riboflavin biosynthetic process [GO:0009231]
Q9HPD4,50S ribosomal protein L3,VNG_1689G,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q9HRW3,DNA double-strand break repair Rad50 ATPase,VNG_0514C,double-strand break repair [GO:0006302]
Q9HPF2,DNA repair and recombination protein RadB,VNG_1665G,DNA recombination [GO:0006310]; DNA repair [GO:0006281]
Q9HPS3,50S ribosomal protein L37e,VNG_1494G,translation [GO:0006412]
Q9HMM9,50S ribosomal protein L39e,VNG_2469G,translation [GO:0006412]
Q9HPZ2,Putative DNA helicase Rad25 (EC 3.6.4.12),VNG_1406G,
Q9HPD3,50S ribosomal protein L4,VNG_1690G,translation [GO:0006412]
Q9HPC2,30S ribosomal protein S4e,VNG_1703G,translation [GO:0006412]
P0CX06,DNA-directed RNA polymerase subunit H (EC 2.7.7.6),VNG_2668G,"transcription, DNA-templated [GO:0006351]"
P15010,30S ribosomal protein S19 (HHAS19),VNG_1693G,ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
P57710,30S ribosomal protein S28e,VNG_1158G,maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
Q9HPB4,30S ribosomal protein S5,VNG_1715G,translation [GO:0006412]
Q9HMJ5,30S ribosomal protein S6e,VNG_2514G,translation [GO:0006412]
Q9HNL4,30S ribosomal protein S24e,VNG_2048G,translation [GO:0006412]
P0CX01,30S ribosomal protein S7,VNG_2657G,ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
Q9HPB9,30S ribosomal protein S8,VNG_1707G,translation [GO:0006412]
Q9HQJ0,DNA-directed RNA polymerase subunit K (EC 2.7.7.6),VNG_1141G,"transcription, DNA-templated [GO:0006351]"
Q9HSG9,DNA-directed RNA polymerase subunit P (EC 2.7.7.6),VNG_0237H,"transcription, DNA-templated [GO:0006351]"
Q9HR53,DNA-directed RNA polymerase subunit L (EC 2.7.7.6),VNG_0860G,"transcription, DNA-templated [GO:0006351]"
Q9HQJ1,DNA-directed RNA polymerase subunit N (EC 2.7.7.6),VNG_1140G,"transcription, DNA-templated [GO:0006351]"
Q9HQ86,Ribonuclease P protein component 2 (RNase P component 2) (EC 3.1.26.5) (Pop5),VNG_1279H,tRNA 5'-leader removal [GO:0001682]
P0CX04,DNA-directed RNA polymerase subunit B'' (EC 2.7.7.6),VNG_2666G,"transcription, DNA-templated [GO:0006351]"
Q9HQJ4,DNA-directed RNA polymerase subunit D (EC 2.7.7.6),VNG_1136G,"transcription, DNA-templated [GO:0006351]"
Q9HQI4,Ribonuclease J (RNase J) (EC 3.1.-.-),VNG_1149C,RNA catabolic process [GO:0006401]
P0CX03,DNA-directed RNA polymerase subunit B' (EC 2.7.7.6),VNG_2665G,"transcription, DNA-templated [GO:0006351]"
Q9HQJ2,30S ribosomal protein S9,VNG_1139G,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; translation [GO:0006412]"
Q9HQH1,"Probable ribosomal RNA small subunit methyltransferase A (EC 2.1.1.-) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase)",VNG_1165G,rRNA methylation [GO:0031167]
Q9HPE9,30S ribosomal protein S8e,VNG_1668G,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; translation [GO:0006412]"
Q9HRE8,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4),VNG_0732G,RNA processing [GO:0006396]
Q9HNL5,30S ribosomal protein S27ae,VNG_2047G,translation [GO:0006412]
Q9HMD1,Preprotein translocase subunit SecG (Protein transport protein Sec61 subunit beta homolog),VNG_2599H,protein transport [GO:0015031]
Q9HPB1,Protein translocase subunit SecY (Protein transport protein SEC61 subunit alpha homolog),VNG_1719G,"SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]"
Q9HR45,Transcription initiation factor IIB 4 (TFIIB 4),VNG_0869G,"DNA-templated transcription, initiation [GO:0006352]; transcription preinitiation complex assembly [GO:0070897]"
Q9HHH8,Transcription initiation factor IIB 5 (TFIIB 5),VNG_6389G,"DNA-templated transcription, initiation [GO:0006352]; transcription preinitiation complex assembly [GO:0070897]"
Q9HSF7,Transcription initiation factor IIB 7 (TFIIB 7),VNG_0254G,"DNA-templated transcription, initiation [GO:0006352]; transcription preinitiation complex assembly [GO:0070897]"
Q9HR32,Type 2 DNA topoisomerase 6 subunit A (EC 5.99.1.3) (Type II DNA topoisomerase VI subunit A),VNG_0884G,"DNA catabolic process, endonucleolytic [GO:0000737]; DNA topological change [GO:0006265]; DNA unwinding involved in DNA replication [GO:0006268]"
Q9HRE6,Transcription initiation factor IIB 2 (TFIIB 2),VNG_0734G,"DNA-templated transcription, initiation [GO:0006352]; transcription preinitiation complex assembly [GO:0070897]"
Q9HSB3,Transcription initiation factor IIB 6 (TFIIB 6),VNG_0315G,"DNA-templated transcription, initiation [GO:0006352]; transcription preinitiation complex assembly [GO:0070897]"
Q9HS72,Protein translocase subunit SecE (Protein transport protein Sec61 gamma subunit homolog),VNG_0375G,intracellular protein transmembrane transport [GO:0065002]; protein secretion [GO:0009306]; protein targeting [GO:0006605]
Q9HN50,Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase),VNG_2251G,one-carbon metabolic process [GO:0006730]; S-adenosylhomocysteine catabolic process [GO:0019510]; S-adenosylmethionine cycle [GO:0033353]
P57713,30S ribosomal protein S2,VNG_1143G,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]; translation [GO:0006412]"
Q9HNF0,Peptide chain release factor subunit 1 (Translation termination factor aRF1),VNG_2131G,
Q9HN27,Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit),VNG_2280G,DNA-dependent DNA replication [GO:0006261]
P0CX07,DNA-directed RNA polymerase subunit A'' (Subunit C) (EC 2.7.7.6),VNG_2662G,"transcription, DNA-templated [GO:0006351]"
Q9HQG8,50S ribosomal protein L21e (HL30) (HL31),VNG_1170G,translation [GO:0006412]
P13575,50S ribosomal protein L1 (HL8),VNG_1105G,maturation of LSU-rRNA [GO:0000470]; regulation of translation [GO:0006417]; translation [GO:0006412]
P0CX00,30S ribosomal protein S12 (HmaS12),VNG_2658G,translation [GO:0006412]
P50562,50S ribosomal protein L18 (HCuL18) (HHal18) (HL13) (HSal18),VNG_1714G,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q9HN33,Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI),VNG_2272G,"D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]"
P0CX02,DNA-directed RNA polymerase subunit A' (EC 2.7.7.6),VNG_2664G,"transcription, DNA-templated [GO:0006351]"
Q9HN60,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),VNG_2239C,
Q9HNR3,Ribonuclease HII (RNase HII) (EC 3.1.26.4),VNG_1984G,"DNA replication, removal of RNA primer [GO:0043137]; mismatch repair [GO:0006298]"
Q9HN40,Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase),VNG_2263G,
Q9HPB8,50S ribosomal protein L6 (HL10),VNG_1709G,cytoplasmic translation [GO:0002181]
Q9HHN3,Aspartate carbamoyltransferase regulatory chain,VNG_6311G,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; pyrimidine nucleotide biosynthetic process [GO:0006221]
Q9HMM4,DNA repair and recombination protein RadA,VNG_2473G,DNA recombination [GO:0006310]; DNA repair [GO:0006281]
Q9HSG8,50S ribosomal protein L37Ae (Ribosomal protein L43e),VNG_0239C,translation [GO:0006412]
Q9HHN8,7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (Archaeosine biosynthesis protein QueC) (PreQ(0) synthase),VNG_6303G,queuosine biosynthetic process [GO:0008616]
Q9HSS4,50S ribosomal protein L10e,VNG_0099G,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q9HPD1,50S ribosomal protein L2,VNG_1692G,cytoplasmic translation [GO:0002181]
Q9HMN0,50S ribosomal protein L31e,VNG_2467G,cytoplasmic translation [GO:0002181]
Q9HQH8,50S ribosomal protein L7Ae (Ribosomal protein L8e),VNG_1157G,maturation of LSU-rRNA [GO:0000470]; translation [GO:0006412]; tRNA 5'-leader removal [GO:0001682]
O24785,Ribonuclease P protein component 1 (RNase P component 1) (EC 3.1.26.5) (Rpp29),VNG_1699C,tRNA 5'-leader removal [GO:0001682]
Q9HRT6,50S ribosomal protein L44e,VNG_0551G,translation [GO:0006412]
P0DME1,Cell surface glycoprotein (S-layer glycoprotein),VNG_2679G,cell wall organization [GO:0071555]
Q9HNW2,Putative fluoride ion transporter CrcB 1,VNG_1919H,fluoride transmembrane transport [GO:1903424]
Q9HNW1,Putative fluoride ion transporter CrcB 2,VNG_1921H,fluoride transmembrane transport [GO:1903424]
Q9HRY3,Chaperone protein DnaJ,VNG_0489G,chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein refolding [GO:0042026]; response to heat [GO:0009408]
Q9HPX2,Probable deoxyhypusine synthase (DHS) (EC 2.5.1.46),VNG_1432G,peptidyl-lysine modification to peptidyl-hypusine [GO:0008612]
Q9HHJ7,ORC1-type DNA replication protein 4,VNG_6363G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HMS3,ORC1-type DNA replication protein 7,VNG_2411G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HQ63,Succinate dehydrogenase hydrophobic membrane anchor subunit,VNG_1310G,tricarboxylic acid cycle [GO:0006099]
Q9HRY2,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),VNG_0491G,cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]
Q9HN43,Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31),VNG_2259C,carbon fixation [GO:0015977]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]
Q9HSP6,CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT),VNG_0137G,RNA repair [GO:0042245]; tRNA 3'-terminal CCA addition [GO:0001680]
Q9HPF0,Protein CdcH,VNG_1667G,
Q9HQ29,Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase),VNG_1356G,fumarate metabolic process [GO:0006106]; tricarboxylic acid cycle [GO:0006099]
Q9HS93,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-),VNG_0345G,glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]
Q9HQD6,Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase),VNG_1211G,histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]
Q9HQD8,Probable urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase),VNG_1208G,histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]
Q9HSQ2,Protease HtpX homolog (EC 3.4.24.-),VNG_0129G,
Q9HP81,Sensory rhodopsin II transducer (HTR-II) (Methyl-accepting phototaxis protein II) (MPP-II),VNG_1765G,chemotaxis [GO:0006935]; protein-chromophore linkage [GO:0018298]; signal transduction [GO:0007165]
P0DMI4,Transducer protein Htr4 (HTP VI),VNG_0806G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
P0DMI5,Transducer protein Htr7 (HTP V),VNG_1759G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HQ00,Halobacterial transducer protein 9 (HTP III),VNG_1395G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HQD7,Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase),VNG_1209G,histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]
Q9HSS7,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase),VNG_0095G,glycolytic process [GO:0006096]; lysine biosynthetic process via diaminopimelate [GO:0009089]
Q9HQD5,Probable histidine ammonia-lyase (Histidase) (EC 4.3.1.3),VNG_1212G,histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]
Q9HQ97,Translation initiation factor 2 subunit beta (aIF2-beta) (eIF-2-beta),VNG_1262G,
Q9HS71,Cell division protein FtsZ 1,VNG_0376G,cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
P13077,Flagellin B2,VNG_0961G,
Q9HS49,Glycerol-1-phosphate dehydrogenase [NAD(P)+] (G1P dehydrogenase) (G1PDH) (EC 1.1.1.261) (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase),VNG_0406C,glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]
Q9HMA9,Probable ribonuclease FAU-1 (EC 3.1.26.-) (RNA-binding protein FAU-1),VNG_2627C,rRNA processing [GO:0006364]
Q9HQ27,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1),VNG_1359G,"DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA replication, removal of RNA primer [GO:0043137]"
Q9HPK0,Probable glycine dehydrogenase (decarboxylating) subunit 2 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 2) (Glycine decarboxylase subunit 2) (Glycine dehydrogenase (aminomethyl-transferring) subunit 2),VNG_1601G,glycine decarboxylation via glycine cleavage system [GO:0019464]
Q9HRP0,"Digeranylgeranylglyceryl phosphate synthase (DGGGP synthase) (DGGGPS) (EC 2.5.1.42) ((S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase) (Geranylgeranylglycerol-phosphate geranylgeranyltransferase)",VNG_0610G,glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]
