"query","NOGs","COG_category","HMM_description"
"WP_010890522.1","11VUC@NOG","Q","Gas vesicle synthesis GvpLGvpF"
"WP_010890523.1","0Y69N@NOG","Q","gas-vesicle operon protein"
"WP_010890524.1","COG0071@NOG","O","GvpH"
"WP_010890525.1","111CS@NOG",NA,NA
"WP_010890526.1","0ZXDU@NOG","Q","Gas vesicles are small, hollow, gas filled protein structures that are found in several microbial planktonic microorganisms. They allow the positioning of the organism at the favorable depth for growth (By similarity)"
"WP_010890527.1","0ZY4M@NOG","Q","Gas vesicle K"
"WP_010890528.1","1209X@NOG","Q","Gas vesicle synthesis GvpLGvpF"
"WP_010890529.1","0XUMF@NOG","Q","Gas vesicles are small, hollow, gas filled protein structures that are found in several microbial planktonic microorganisms. They allow the positioning of the organism at the favorable depth for growth (By similarity)"
"WP_010890532.1","COG3385@NOG","L","Transposase"
"WP_010890533.1","110TV@NOG",NA,NA
"WP_010890535.1","0Y2R6@NOG",NA,NA
"WP_010890536.1","COG1192@NOG","D","Cobyrinic acid ac-diamide synthase"
"WP_010890537.1","COG1476@NOG","K","Transcriptional regulator, XRE family"
"WP_010890539.1","COG3385@NOG","L","Transposase"
"WP_010890542.1","127KC@NOG",NA,NA
"WP_010901943.1","COG1361@NOG","M","Inherit from arCOG: domain protein"
"WP_010901944.1","COG1136@NOG","V","ABC transporter"
"WP_010901945.1","COG0577@NOG","V","ABC transporter permease"
"WP_010901946.1","COG1287@NOG","S","Inherit from arCOG: oligosaccharyl transferase"
"WP_010901947.1","COG0449@NOG","M","Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)"
"WP_010901948.1","COG1208@NOG","M","Nucleotidyl transferase"
"WP_010901949.1","COG1208@NOG","M","Nucleotidyl transferase"
"WP_010901950.1","COG2148@NOG","M","Exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase"
"WP_010901954.1","0YM3N@NOG",NA,NA
"WP_010901955.1","COG3359@NOG","L","Inherit from COG: Exonuclease-like protein"
"WP_010901956.1","COG3359@NOG","L","Inherit from COG: Exonuclease-like protein"
"WP_010901962.1","10ZXQ@NOG",NA,NA
"WP_010901965.1","COG3415@NOG","L","Inherit from eurNOG: Transposase"
"WP_010901967.1","10ZN6@NOG",NA,NA
"WP_010901968.1","111TQ@NOG","S","Inherit from NOG: Aaa atpase"
"WP_010901970.1","110CR@NOG",NA,NA
"WP_010901972.1","COG3039@NOG","L","Transposase"
"WP_010901973.1","COG1598@NOG","S","Inherit from COG: family UPF0150"
"WP_010901974.1","0XUD5@NOG","S","YcfA family"
"WP_010901975.1","0Z4Q9@NOG",NA,NA
"WP_010901977.1","127KC@NOG",NA,NA
"WP_010901978.1","COG0675@NOG","L","Transposase"
"WP_010901979.1","COG1943@NOG","L","transposase IS200-family protein"
"WP_010901980.1","COG0675@NOG","L","transposase, IS605 OrfB family"
"WP_010901982.1","COG1004@NOG","M","ec 1.1.1.22"
"WP_010901983.1","COG1209@NOG","M","glucose-1-phosphate thymidylyltransferase"
"WP_010901984.1","COG0500@NOG","Q","Inherit from COG: Methyltransferase"
"WP_010901985.1","COG2244@NOG","M","Polysaccharide biosynthesis protein"
"WP_010901986.1","COG0438@NOG","M","glycosyl transferase group 1"
"WP_010901988.1","10ZSI@NOG",NA,NA
"WP_010901991.1","1110N@NOG","M","O-antigen polymerase"
"WP_010901992.1","0YCQD@NOG",NA,NA
"WP_010901993.1","COG0438@NOG","M","glycosyl transferase group 1"
"WP_010901994.1","COG3119@NOG","P","sulfatase"
"WP_010901996.1","COG0451@NOG","M","NAD-dependent epimerase dehydratase"
"WP_010901997.1","COG1209@NOG","M","Glucose-1-phosphate thymidylyltransferase"
"WP_010901998.1","COG0451@NOG","M","NAD-dependent epimerase dehydratase"
"WP_010902000.1","COG2405@NOG","V","Inherit from NOG: nucleic acid-binding protein"
"WP_010902002.1","0XY9Q@NOG",NA,NA
"WP_010902003.1","COG2026@NOG","K","Inherit from arCOG: Plasmid stabilization system"
"WP_010902004.1","COG2402@NOG","V","Toxic component of a toxin-antitoxin (TA) module. A"
"WP_010902005.1","COG0451@NOG","M","nad-dependent epimerase dehydratase"
"WP_010902006.1","0ZFJ2@NOG",NA,NA
"WP_010902010.1","COG5652@NOG","S","VanZ like family"
"WP_010902012.1","COG0476@NOG","H","UBA THIF-type NAD FAD binding protein"
"WP_010902014.1","COG0303@NOG COG1910@NOG","H","Molybdopterin biosynthesis protein MoeA LysR substrate binding-domain-containing protein"
"WP_010902015.1","COG0303@NOG","H","Molybdenum cofactor synthesis domain protein"
"WP_010902016.1","COG2518@NOG","O","o-methyltransferase"
"WP_010902017.1","11ND8@NOG",NA,NA
"WP_010902018.1","COG1326@NOG","S","Inherit from arCOG: Zn-finger protein-like protein"
"WP_010902019.1","COG2309@NOG","E","aminopeptidase"
"WP_010902020.1","COG0057@NOG","G","glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.59)"
"WP_010902021.1","COG0071@NOG","O","Heat shock protein"
"WP_010902022.1","COG0189@NOG","H","RimK domain protein ATP-grasp"
"WP_010902023.1","COG0197@NOG","J","50S ribosomal protein L10.e"
"WP_010902025.1","COG0546@NOG","S","HAD-superfamily hydrolase, subfamily IA, variant 1"
"WP_010902026.1","COG0111@NOG","H","Dehydrogenase"
"WP_010902028.1","COG0286@NOG","V","type I restriction-modification system"
"WP_010902029.1","COG0732@NOG","V","Restriction modification system DNA specificity domain protein"
"WP_010902030.1","COG0610@NOG","V","Type I site-specific deoxyribonuclease, HsdR family"
"WP_010902031.1","COG1451@NOG","S","Protein of unknown function DUF45"
"WP_010902033.1","COG3413@NOG","K","HTH DNA binding domain"
"WP_010902034.1","COG4221@NOG","I","KR domain"
"WP_010902037.1","11006@NOG",NA,NA
"WP_010902040.1","COG1430@NOG","S","Uncharacterized ACR, COG1430"
"WP_010902041.1","COG1132@NOG","V","ABC transporter"
"WP_010902043.1","0YSJ8@NOG",NA,NA
"WP_010902044.1","COG2098@NOG","S","Catalyzes the conversion of 7,8-dihydroneopterin (H2Neo) to 6-hydroxymethyl-7,8-dihydropterin (6-HMD) (By similarity)"
"WP_010902046.1","COG0501@NOG","O","Peptidase M48 Ste24p"
"WP_010902048.1","0Z6PJ@NOG",NA,NA
"WP_010902049.1","COG1599@NOG","L","replication factor A"
"WP_010902050.1","COG2036@NOG","L","transcription factor CBF NF-Y histone domain protein"
"WP_010902051.1","COG0123@NOG","B, Q","histone deacetylase"
"WP_010902052.1","COG1746@NOG","J","Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate (By similarity)"
"WP_010902057.1","COG3355@NOG","K","Transcriptional regulator"
"WP_010902059.1","COG3439@NOG","S","Domain of unknown function DUF302"
"WP_010902060.1","110JS@NOG","K","Sugar-specific transcriptional regulator TrmB"
"WP_010902063.1","COG2217@NOG","P","zinc-transporting ATPase"
"WP_010902064.1","11ZM3@NOG","O","Cytochrome c biogenesis protein"
"WP_010902066.1","COG1999@NOG","S","Electron transport protein SCO1 SenC"
"WP_010902067.1","10EYF@NOG",NA,NA
"WP_010902068.1","COG1249@NOG","C","Dihydrolipoyl dehydrogenase"
"WP_010902069.1","COG3413@NOG","K","HTH DNA binding domain"
"WP_010902070.1","COG0477@NOG","G","major facilitator superfamily"
"WP_010902071.1","COG0524@NOG","G","PfkB domain protein"
"WP_010902072.1","COG0323@NOG","L","This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex (By similarity)"
"WP_010902073.1","COG2202@NOG COG2203@NOG COG3413@NOG","T","Histidine kinase"
"WP_010902074.1","COG0334@NOG","E","glutamate dehydrogenase"
"WP_010902076.1","COG0249@NOG","L","that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)"
"WP_010902077.1","COG0309@NOG","O","AIR synthase related protein domain protein"
"WP_010902078.1","COG0638@NOG","O","Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation (By similarity)"
"WP_010902080.1","1110M@NOG","S","DNA-directed RNA polymerase epsilon subunit"
"WP_010902082.1","COG1637@NOG","L","Cleaves both 3' and 5' ssDNA extremities of branched DNA structures (By similarity)"
"WP_010902083.1","COG0249@NOG","L","that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)"
"WP_010902085.1","COG0569@NOG","P","TRK potassium uptake system protein"
"WP_010902086.1","COG0454@NOG","K","GCN5-related N-acetyltransferase"
"WP_010902087.1","COG1632@NOG","J","50S ribosomal protein L15e"
"WP_010902088.1","COG1787@NOG","V","Restriction endonuclease"
"WP_010902089.1","COG0478@NOG","T","Serine threonine protein kinase"
"WP_010902090.1","COG5524@NOG","S","Halorhodopsin"
"WP_010902091.1","COG0095@NOG","H","biotin lipoate A B protein ligase"
"WP_010902092.1","COG0648@NOG","L","Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. It preferentially attacks modified AP sites created by bleomycin and neocarzinostatin (By similarity)"
"WP_010902094.1","COG2309@NOG","E","peptidase M29 aminopeptidase II"
"WP_010902096.1","COG0477@NOG","G","major facilitator superfamily"
"WP_010902097.1","COG1078@NOG","S","HDc"
"WP_010902098.1","COG0037@NOG","D","PP-loop domain protein"
"WP_010902100.1","COG3609@NOG","K","transcriptional regulator, copg family"
"WP_010902102.1","110AS@NOG",NA,NA
"WP_010902103.1","COG0392@NOG","S","Uncharacterised protein family (UPF0104)"
"WP_010902104.1","0YTEX@NOG",NA,NA
"WP_010902105.1","0YPGV@NOG",NA,NA
"WP_010902106.1","0YSDR@NOG",NA,NA
"WP_010902107.1","0Y99T@NOG","M","Inherit from NOG: von Willebrand factor, type A"
"WP_010902112.1","COG0582@NOG","L","Phage integrase family"
"WP_010902113.1","0YQVI@NOG","S","Pfam:TRF2"
"WP_010902115.1","COG3378@NOG COG4983@NOG","S","Primase C terminal 2 (PriCT-2)"
"WP_010902118.1","COG0630@NOG","N","type II secretion system protein"
"WP_010902119.1","0YSS6@NOG","E","Inherit from NOG: S-layer-related duplication domain protein"
"WP_010902120.1","0YWS3@NOG","S","Inherit from NOG: Conserved protein"
"WP_010902121.1","COG1721@NOG","S","conserved repeat domain protein"
"WP_010902122.1","COG0714@NOG","S","ATPase associated with various cellular activities AAA_3"
"WP_010902123.1","COG0265@NOG","O","peptidase S1 and S6 chymotrypsin Hap"
"WP_010902125.1","COG0518@NOG","F","Catalyzes the synthesis of GMP from XMP (By similarity)"
"WP_010902126.1","COG3356@NOG","S","Predicted membrane protein (DUF2070)"
"WP_010902128.1","0YUET@NOG",NA,NA
"WP_010902129.1","COG1382@NOG","O","Molecular chaperone capable of stabilizing a range of proteins. Seems to fulfill an ATP-independent, HSP70-like function in archaeal de novo protein folding (By similarity)"
"WP_010902130.1","COG1996@NOG","K","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)"
"WP_010902131.1","COG1997@NOG","J","Binds to the 23S rRNA (By similarity)"
"WP_010902133.1","COG4031@NOG","S","Predicted metal-binding protein (DUF2103)"
"WP_010902134.1","COG0585@NOG","J","Could be responsible for synthesis of pseudouridine from uracil-13 in transfer RNAs (By similarity)"
"WP_010902135.1","COG1990@NOG","J","The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)"
"WP_010902136.1","COG2881@NOG","S","Yip1 domain"
"WP_010902137.1","COG0717@NOG","F","Deoxycytidine triphosphate deaminase"
"WP_010902138.1","COG1992@NOG COG2522@NOG","K","Transcriptional regulator, XRE family"
"WP_010902139.1","11190@NOG","T","Inherit from COG: Histidine kinase"
"WP_010902140.1","COG3794@NOG","C","Blue (Type 1) copper domain protein"
"WP_010902141.1","COG1701@NOG","H","Protein of unknown function DUF137"
"WP_010902142.1","COG1829@NOG","H","GHMP kinase"
"WP_010902143.1","COG1646@NOG","S","Prenyltransferase that catalyzes the transfer of the geranylgeranyl moiety of geranylgeranyl diphosphate (GGPP) to the C3 hydroxyl of sn-glycerol-1-phosphate (G1P). This reaction is the first ether-bond-formation step in the biosynthesis of archaeal membrane lipids (By similarity)"
"WP_010902144.1","COG1405@NOG","K","Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity)"
"WP_010902145.1","COG0328@NOG","L","Ribonuclease H"
"WP_010902146.1","0YJ7H@NOG",NA,NA
"WP_010902147.1","COG1695@NOG","K","regulator"
"WP_010902148.1","COG0221@NOG","C","pyrophosphate phosphohydrolase"
"WP_010902150.1","COG0618@NOG","S","Inherit from arCOG: domain protein"
"WP_010902151.1","COG3379@NOG","S","type I phosphodiesterase nucleotide pyrophosphatase"
"WP_010902152.1","COG0206@NOG","D","cell division protein FtsZ"
"WP_010902154.1","COG0451@NOG","M","NAD-dependent epimerase dehydratase"
"WP_010902155.1","COG0667@NOG","C","aldo keto reductase"
"WP_010902157.1","COG0463@NOG","M","glycosyltransferase-like protein"
"WP_010902158.1","0YNI1@NOG",NA,NA
"WP_010902159.1","COG0494@NOG","L","Nudix family"
"WP_010902160.1","COG3349@NOG","Q","Flavin containing amine oxidoreductase"
"WP_010902162.1","COG0665@NOG","E","Sarcosine oxidase"
"WP_010902163.1","COG0071@NOG","O","HSP20 type chaperone"
"WP_010902165.1","COG1031@NOG","C","Radical SAM domain protein"
"WP_010902166.1","COG1943@NOG","L","Transposase"
"WP_010902167.1","COG0675@NOG","L","Pfam:Transposase_35"
"WP_010902168.1","COG3269@NOG","S","Deoxyribonuclease rho motif-related TRAM"
"WP_010902169.1","COG0727@NOG","S","Pfam:UPF0153"
"WP_010902170.1","COG0491@NOG","S","Beta-lactamase domain protein"
"WP_010902171.1","COG0640@NOG","K","Transcription regulator"
"WP_010902173.1","COG0463@NOG","M","Glycosyl transferase"
"WP_010902174.1","COG2159@NOG","S","amidohydrolase 2"
"WP_010902175.1","COG2860@NOG","S","UPF0126 domain"
"WP_010902177.1","COG1056@NOG","H","Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1)"
"WP_010902178.1","COG1067@NOG","O","ATP-dependent protease Lon"
"WP_010902180.1","COG0134@NOG","E","Indole-3-glycerol phosphate synthase"
"WP_010902181.1","COG0133@NOG","E","The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)"
"WP_010902182.1","COG0159@NOG","E","The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)"
"WP_010902183.1","COG1830@NOG","E","Fructose-bisphosphate aldolase (EC 4.1.2.13)"
"WP_010902184.1","1111F@NOG",NA,NA
"WP_010902185.1","COG1465@NOG","E","Catalyzes the oxidative deamination and cyclization of 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid (ADH) to yield 3- dehydroquinate (DHQ), which is fed into the canonical shikimic pathway of aromatic amino acid biosynthesis (By similarity)"
"WP_010902188.1","COG1405@NOG","K","Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity)"
"WP_010902189.1","COG0614@NOG","P","Periplasmic"
"WP_010902190.1","COG0392@NOG COG0463@NOG","M","glycosyl transferase family 2"
"WP_010902191.1","11W55@NOG",NA,NA
"WP_010902192.1","COG3398@NOG","K","regulator"
"WP_010902193.1","COG0330@NOG","O","Band 7 protein"
"WP_010902194.1","COG1585@NOG","O","NfeD-like C-terminal, partner-binding"
"WP_010902196.1","COG0469@NOG COG3848@NOG","G","pyruvate kinase (EC 2.7.1.40)"
"WP_010902197.1","COG0073@NOG COG0143@NOG","J","Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)"
"WP_010902198.1","COG0076@NOG","E","Specifically catalyzes the decarboxylation of L-tyrosine to produce tyramine (By similarity)"
"WP_010902199.1","COG0501@NOG","O","Peptidase family M48"
"WP_010902200.1","COG0574@NOG","G","phosphoenolpyruvate synthase"
"WP_010902202.1","COG0384@NOG","S","phenazine biosynthesis protein phzf family"
"WP_010902203.1","COG2236@NOG","S","phosphoribosyltransferase"
"WP_010902206.1","0YWFT@NOG","T","Inherit from COG: regulatoR"
"WP_010902207.1","COG1354@NOG","L","chromosome segregation and condensation protein ScpA"
"WP_010902208.1","COG1196@NOG","D","Required for chromosome condensation and partitioning (By similarity)"
"WP_010902209.1","0ZD9J@NOG",NA,NA
"WP_010902210.1","COG0064@NOG","J","Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)"
"WP_010902213.1","COG0550@NOG COG0551@NOG","L","DNA topoisomerase"
"WP_010902215.1","11005@NOG",NA,NA
"WP_010902216.1","COG1266@NOG","S","Abortive infection protein"
"WP_010902217.1","COG0840@NOG","N","transducer"
"WP_010902219.1","0YMV3@NOG","S","Inherit from NOG: Domain of unknown function (DUF1508)"
"WP_010902221.1","COG0705@NOG COG3582@NOG","E","Rhomboid family"
"WP_010902222.1","COG1515@NOG","L","Selectively cleaves double-stranded DNA at the second phosphodiester bond 3' to a deoxyinosine leaving behind the intact lesion on the nicked DNA. Acts in DNA repair (By similarity)"
"WP_010902223.1","COG1028@NOG","I","Short-chain dehydrogenase reductase SDR"
"WP_010902224.1","COG0003@NOG","D","Arsenite-activated ATPase ArsA"
"WP_010902225.1","COG3631@NOG","S","Nuclear transport factor 2 (NTF2) domain"
"WP_010902226.1","COG1546@NOG","S","CinA domain protein"
"WP_010902229.1","0YNJK@NOG","S","zinc finger C2H2-type domain protein"
"WP_010902230.1","COG0250@NOG","K","Transcription antitermination protein NusG"
"WP_010902231.1","COG2443@NOG","U","Protein transport protein Sec61 gamma subunit homolog"
"WP_010902232.1","COG0206@NOG","D","Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)"
"WP_010902234.1","COG0530@NOG","P","Na Ca antiporter"
"WP_010902235.1","COG0169@NOG","E","shikimate dehydrogenase"
"WP_010902237.1","COG0147@NOG","E","synthase component I"
"WP_010902238.1","COG0512@NOG","E","anthranilate synthase"
"WP_010902239.1","COG0115@NOG","E","amino acid aminotransferase"
"WP_010902240.1","COG2146@NOG","P","Rieske 2Fe-2S"
"WP_010902241.1","COG3357@NOG","K","transcriptional regulator containing an HTH domain fused to a Zn-ribbon"
"WP_010902243.1","COG2102@NOG","S","ATP- binding protein"
"WP_010902244.1","COG2237@NOG","S","Domain of unknown function (DUF373)"
"WP_010902245.1","COG1340@NOG","S","phosphoserine phosphatase"
"WP_010902246.1","COG2090@NOG","S","Domain of unknown function (DUF371)"
"WP_010902247.1","COG0177@NOG","L","DNA-(Apurinic or apyrimidinic site) lyase"
"WP_010902248.1","11185@NOG",NA,NA
"WP_010902249.1","COG1782@NOG","S","mRNA 3-end processing factor-like protein"
"WP_010902251.1","COG0442@NOG","J","Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro) (By similarity)"
"WP_010902252.1","10ZW1@NOG",NA,NA
"WP_010902253.1","COG0451@NOG","M","NAD-dependent epimerase dehydratase"
"WP_010902254.1","COG0371@NOG","C","Catalyzes the NAD(P)H-dependent reduction of dihydroxyacetonephosphate (DHAP or glycerone phosphate) to glycerol 1-phosphate (G1P). The G1P thus generated is used as the glycerophosphate backbone of phospholipids in the cellular membranes of Archaea (By similarity)"
"WP_010902256.1","COG0501@NOG","O","peptidase M48, Ste24p"
"WP_010902257.1","COG1506@NOG","E","peptidase S9 prolyl oligopeptidase active site domain protein"
"WP_010902258.1","COG0438@NOG","M","glycosyl transferase group 1"
"WP_010902259.1","COG0285@NOG COG0294@NOG","H","dihydropteroate synthase"
"WP_010902262.1","COG2129@NOG","S","Inherit from arCOG: Metallophosphoesterase"
"WP_010902263.1","COG1432@NOG","S","Pfam:DUF88"
"WP_010902265.1","COG1370@NOG","J","PUA domain containing protein"
"WP_010902267.1","COG1308@NOG","K","Contacts the emerging nascent chain on the ribosome (By similarity)"
"WP_010902268.1","COG2519@NOG","J","Methyltransferase"
"WP_010902269.1","COG1594@NOG","K","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)"
"WP_010902270.1","COG0477@NOG","G","major facilitator superfamily"
"WP_010902271.1","COG1024@NOG","I","enoyl-CoA hydratase"
"WP_010902272.1","0YIA1@NOG","L","Inherit from COG: Helicase"
"WP_010902274.1","COG0494@NOG","L","NUDIX hydrolase"
"WP_010902275.1","COG0051@NOG","J","Involved in the binding of tRNA to the ribosomes (By similarity)"
"WP_010902276.1","0Z9W5@NOG",NA,NA
"WP_010902277.1","COG1757@NOG","C","Na H antiporter"
"WP_010902278.1","COG1473@NOG","E","amidohydrolase"
"WP_010902279.1","COG0644@NOG","C","geranylgeranyl reductase"
"WP_010902280.1","COG0633@NOG","C","Ferredoxin"
