"query","NOGs","COG_category","HMM_description"
"NP_009312.1","0Y8BY@NOG","C","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. Minor subunit located with subunit a in the membrane (By similarity)"
"NP_009313.1","COG0356@NOG","C","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Key component of the proton channel"
"NP_009315.1","COG1290@NOG","C","Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)"
"NP_009316.1","COG1290@NOG","C","Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)"
"NP_009317.1","0YBWS@NOG","C","LAGLIDADG endonuclease"
"NP_009318.1","COG1290@NOG","C","Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)"
"NP_009319.1","COG0636@NOG","C","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. A homomeric c-ring of probably 10 subunits is part of the complex rotary element"
"NP_009320.1","115CE@NOG","J","Essential for mitochondrial protein synthesis and required for the maturation of small ribosomal subunits"
"NP_009324.1","COG1290@NOG","C","Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)"
"NP_009326.1","COG1622@NOG","C","Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1 (By similarity)"
"NP_009327.1","0ZRHE@NOG","L","intron homing"
"NP_009328.1","COG1845@NOG","C","Subunits I, II and III form the functional core of the enzyme complex (By similarity)"
"NP_009332.1","0YXX3@NOG","O","Member of the seripauperin multigene family encoded mainly in subtelomeric regions"
"NP_009333.1","COG0477@NOG","G","Major Facilitator Superfamily"
"NP_009335.1","0YWND@NOG","S","Cell wall protein that participates directly in adhesive cell-cell interactions during yeast flocculation, a reversible, asexual and Ca(2 )-dependent process in which cells adhere to form aggregates (flocs) consisting of thousands of cells. The lectin- like protein sticks out of the cell wall of flocculent cells and selectively binds mannose residues in the cell walls of adjacent cells"
"NP_009338.1","0YWND@NOG","S","Cell wall protein that participates directly in adhesive cell-cell interactions during yeast flocculation, a reversible, asexual and Ca(2 )-dependent process in which cells adhere to form aggregates (flocs) consisting of thousands of cells. The lectin- like protein sticks out of the cell wall of flocculent cells and selectively binds mannose residues in the cell walls of adjacent cells"
"NP_009339.1","COG0334@NOG","E","glutamate dehydrogenase"
"NP_009340.1","COG1063@NOG","Q","acetoin dehydrogenase activity"
"NP_009341.2","COG1063@NOG","Q","acetoin dehydrogenase activity"
"NP_009342.2","0Z57M@NOG",NA,NA
"NP_009343.1","0XP7T@NOG","O","Calreticulin family"
"NP_009345.3","0YDIG@NOG","T","G proteins are involved as modulators or transducers in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction. Involved in the determination of the cAMP level according to nutritional conditions, most probably as a regulator of cAMP phosphodiesterase. Required for the control of pseudohyphal and haploid invasive growth"
"NP_009346.1","11558@NOG","U","peroxisome organization"
"NP_009347.1","COG0365@NOG","H","acetate--CoA ligase"
"NP_009348.2","0XR4Q@NOG","U","Transient receptor potential (TRP) ion channel"
"NP_009349.3","0XUCG@NOG","K","Fungal Zn(2)-Cys(6) binuclear cluster domain"
"NP_009350.1","COG0412@NOG","Q","Dienelactone hydrolase family"
"NP_009351.1","0XRHW@NOG","V","Mitochondrial GTPase involved in mitochondrial trafficking (By similarity)"
"NP_009352.2","11D9F@NOG",NA,NA
"NP_009353.1","COG0271@NOG","T","BolA-like protein"
"NP_009355.3","COG0509@NOG","E","Glycine cleavage H-protein"
"NP_009356.1","0XQAS@NOG","A","Domain of unknown function (DUF3453)"
"NP_009358.1","0XP7X@NOG","U","Endoplasmic reticulum vesicle transporter"
"NP_009359.1","0XQDV@NOG","T","Guanine nucleotide exchange factor"
"NP_009360.1","COG5024@NOG","D","Cyclin, N-terminal domain"
"NP_009361.1","0YAUW@NOG","C, O","Cytochrome c/c1 heme lyase"
"NP_009362.1","COG0469@NOG","G","Pyruvate kinase"
"NP_009363.1","119SZ@NOG",NA,NA
"NP_009364.1","COG1163@NOG","T","TGS domain"
"NP_009365.1","COG0532@NOG","J","Translation initiation factor"
"NP_009367.1","11U2S@NOG","S","Mis12 protein"
"NP_009368.2","11T1C@NOG","S","DNA binding"
"NP_009369.1","COG1369@NOG","J","P MRP protein subunit POP5"
"NP_009370.1","0XQGT@NOG","A","Pre-mRNA-processing protein 45"
"NP_009371.1","0YNT9@NOG","S","GLC7 phosphatase-regulatory protein involved in GLC7 subcellular redistribution and chromosome segregation"
"NP_009372.1","COG5143@NOG","U","K08513 vesicle-associated membrane protein 4"
"NP_009373.1","COG5022@NOG","Z","myosin heavy chain"
"NP_009374.1","11BI1@NOG",NA,NA
"NP_009375.1","114MA@NOG","L","Single-strand annealing weakened protein 1"
"NP_009376.2","COG0474@NOG","P","E1-E2 ATPase"
"NP_009377.2","COG5129@NOG","A","66S preribosome component MAK16"
"NP_009378.1","0XR96@NOG","D","GDP-GTP exchange factor component of the mitotic exit network (MEN). Fine-tunes the timing of the mitotic exit and couples this event with cytokinesis. May also be involved in proprotein-processing in the secretory pathway (By similarity)"
"NP_009379.2","COG1928@NOG","O","MIR domain"
"NP_009380.1","0Y3MT@NOG","P","Nucleoside transporter"
"NP_009381.1","COG4886@NOG COG5239@NOG","K","Acts as catalytic component of the CCR4-NOT core complex, which in the nucleus seems to be a general transcription factor, and in the cytoplasm the major mRNA deadenylase involved in mRNA turnover. CCR4 has 3'-5' RNase activity with a strong preference for polyadenylated substrates and also low exonuclease activity towards single stranded DNA. Discovered because of its role in the control of ADH2 gene expression. It is required for the expression of genes involved in non-fermentative growth"
"NP_009382.2","COG5184@NOG","D, Z","Inherit from ascNOG: alpha-tubulin suppressor protein Aats1"
"NP_009383.1","COG0553@NOG","B","SNF2 family N-terminal domain"
"NP_009384.1","115SY@NOG",NA,NA
"NP_009385.2","COG0515@NOG","T","Protein tyrosine kinase"
"NP_009386.1","0XQVI@NOG","T","HEAT repeat"
"NP_009387.1","COG0177@NOG","L","DNA N-glycosylase and apurinic apyrimidinic (AP) lyase involved in base excision repair"
"NP_009388.2","129D6@NOG","U","SNARE domain"
"NP_009389.3","12DB9@NOG","K","Sds3-like"
"NP_009390.1","COG0626@NOG","E","Cys/Met metabolism PLP-dependent enzyme"
"NP_009391.2","0XX1R@NOG","B","Component of the SWR1 complex which mediates the ATP- dependent exchange of histone H2A for the H2A variant HZT1 leading to transcriptional regulation of selected genes by chromatin remodeling. Involved in chromosome stability"
"NP_009392.2","0XSFW@NOG","U","Component of the ERMES MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria (By similarity)"
"NP_009393.1","126QN@NOG","S","Spo7-like protein"
"NP_009394.1","0YIP8@NOG","S","FUN14 family"
"NP_009395.1","11JPD@NOG","U","Endosomal cargo receptor (Erp3)"
"NP_009396.2","COG0443@NOG","O","involved in protein folding and"
"NP_009398.1","COG2092@NOG","K","Eukaryotic elongation factor 1 beta central acidic region"
"NP_009399.2","0XRX6@NOG","U","RING"
"NP_009400.1","11TK5@NOG","K","B-block binding subunit of TFIIIC"
"NP_009401.1","0XXCZ@NOG",NA,NA
"NP_009402.1","0XPUW@NOG","U","ER to Golgi vesicle-mediated transport"
"NP_009403.1","0XTA2@NOG","S","Compass component swd1"
"NP_009404.1","COG1599@NOG","L","Replication factor-A C terminal domain"
"NP_009405.1","COG1676@NOG","J","Constitutes one of the two catalytic subunit of the tRNA-splicing endonuclease complex, a complex responsible for identification and cleavage of the splice sites in pre-tRNA. It cleaves pre-tRNA at the 5'- and 3'-splice sites to release the intron. The products are an intron and two tRNA half-molecules bearing 2',3'-cyclic phosphate and 5'-OH termini. There are no conserved sequences at the splice sites, but the intron is invariably located at the same site in the gene, placing the splice sites an invariant distance from the constant structural features of the tRNA body. It probably carries the active site for 3'-splice site cleavage"
"NP_009406.1","COG2801@NOG","L","Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of"
"NP_009407.1","COG2801@NOG","K","Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity)"
"NP_009408.3","11FPB@NOG","D","SH3 domain"
"NP_009409.1","COG0152@NOG","F","phosphoribosylaminoimidazole-succinocarboxamide synthase"
"NP_009410.1","0XNQP@NOG","T","Protein tyrosine kinase"
"NP_009411.2","0XQGS@NOG","D","Cell division control protein"
"NP_009412.1","0YXX3@NOG","O","Member of the seripauperin multigene family encoded mainly in subtelomeric regions"
"NP_009413.2","114BH@NOG","U","member of DUP240 gene family"
"NP_009414.1","11BM4@NOG","U","DUP family"
"NP_009415.1","11BM4@NOG","U","DUP family"
"NP_009416.1","114BH@NOG","U","transmembrane segments and an FF sequence, a motif involved in COPII binding"
"NP_009418.1","114BH@NOG","U","transmembrane segments and an FF sequence, a motif involved in COPII binding"
"NP_009419.1","116X9@NOG","U","DUP family"
"NP_009420.1","0XNZ9@NOG","I","Choline/Carnitine o-acyltransferase"
"NP_009421.3","0XP9E@NOG","I","1-phosphatidylinositol binding"
"NP_009424.1","0YWND@NOG","S","Cell wall protein that participates directly in adhesive cell-cell interactions during yeast flocculation, a reversible, asexual and Ca(2 )-dependent process in which cells adhere to form aggregates (flocs) consisting of thousands of cells. The lectin- like protein sticks out of the cell wall of flocculent cells and selectively binds mannose residues in the cell walls of adjacent cells"
"NP_009430.1","113I2@NOG",NA,NA
"NP_009434.1","11FS8@NOG","S","One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface"
"NP_009437.1","COG0513@NOG","L","Helicase encoded by the Y' element of subtelomeric regions, highly expressed in the mutants lacking the telomerase component TLC1"
"NP_009438.1","COG0513@NOG","L","purine NTP-dependent helicase activity"
"NP_009439.1","COG0513@NOG","L","Helicase encoded by the Y' element of subtelomeric regions, highly expressed in the mutants lacking the telomerase component TLC1"
"NP_009443.1","11HVE@NOG","S","Caffeine-induced death protein 2"
"NP_009444.2","0XQV3@NOG","U","Involved in maintenance of ion homeostasis in cells exposed to NaCl stress. May be involved in the targeting of the myosin proteins to their intrinsic pathways. Multicopy suppressor of RHO3. May also participate in the maintenance of cell polarity and bud growth"
"NP_009445.2","0XNPH@NOG","T","Protein kinase C"
"NP_009446.2","0YY2R@NOG","U","Inherit from ascNOG: Conserved hypothetical protein"
"NP_009447.1","10SME@NOG","K","Helix-loop-helix DNA-binding domain"
"NP_009448.1","COG5102@NOG","U","Got1/Sft2-like family"
"NP_009449.1","102NY@NOG","S","Arrestin (or S-antigen), C-terminal domain"
"NP_009450.1","COG2801@NOG","L","Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of"
"NP_009451.1","COG2801@NOG","K","Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty2 RNA and initiation of reverse transcription (By similarity)"
"NP_009453.2","COG0056@NOG","C","Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)"
"NP_009454.1","COG0654@NOG","C","Catalyzes the hydroxylation of L-kynurenine (L-Kyn) to form 3-hydroxy-L-kynurenine (L-3OHKyn). Required for synthesis of quinolinic acid (By similarity)"
"NP_009455.3","COG5229@NOG","B, D","Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases (By similarity)"
"NP_009457.1","11ZF6@NOG","S","Thioesterase superfamily"
"NP_009459.1","12BRU@NOG","K","Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity)"
"NP_009460.1","COG1717@NOG","J","60S ribosomal protein L32"
"NP_009461.2","0ZQGZ@NOG","T","MSP (Major sperm protein) domain"
"NP_009462.2","COG0024@NOG","O","Removes the N-terminal methionine from nascent proteins (By similarity)"
"NP_009463.1","0ZM21@NOG","J","Ribosomal protein S21"
"NP_009464.2","COG0814@NOG","E","Amino acid transporter"
"NP_009465.2","0XNPY@NOG","B","Serine threonine protein kinase which activates checkpoint signaling upon genotoxic stresses such as ionizing radiation (IR), ultraviolet light (UV), or DNA replication stalling, thereby acting as a DNA damage sensor. Recognizes the substrate consensus sequence ST -Q. Phosphorylates histone H2A to form H2AS128ph (gamma-H2A) at sites of DNA damage, involved in the regulation of DNA damage response mechanism. Required for the control of telomere length and genome stability (By similarity)"
"NP_009466.1","COG0093@NOG","J","ribosomal protein L23"
"NP_009467.1","11FWM@NOG","S","Pfam:Eeig1"
"NP_009468.1","11GTP@NOG","T","Protein implicated in polar growth, functionally redundant with"
"NP_009469.2","COG0457@NOG","D","Tetratricopeptide repeat"
"NP_009471.1","0XSN8@NOG","G","Adds the first Dol-P-Man derived mannose in an alpha-1,3 linkage to Man(5)GlcNAc(2)-PP-Dol"
"NP_009472.1","11AWQ@NOG",NA,NA
"NP_009473.2","COG0064@NOG","J","Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)"
"NP_009474.1","COG5308@NOG","U, Y","Nuclear pore complex"
"NP_009475.1","11JAT@NOG","U","Involved in cytoplasm to vacuole transport (Cvt) vesicles and autophagosomes formation. May mediate the delivery of the vesicles and autophagosomes to the vacuole via the microtubule cytoskeleton (By similarity)"
"NP_009477.1","COG0060@NOG","J","Anticodon-binding domain of tRNA"
"NP_009478.1","COG0443@NOG","O","MreB/Mbl protein"
"NP_009479.1","0XSI4@NOG","A","AAR2 protein"
"NP_009481.1","COG2007@NOG","J","40S ribosomal protein S8"
"NP_009484.2","COG0604@NOG","C","Alcohol dehydrogenase GroES-like domain"
"NP_009485.3","COG0462@NOG","F","Ribose-phosphate pyrophosphokinase"
"NP_009486.3","0XQ81@NOG","O","ubiquitin carboxyl-terminal hydrolase"
"NP_009487.2","0YJUA@NOG","K","Suppressor protein SEF1"
"NP_009489.1","COG0450@NOG","O","C-terminal domain of 1-Cys peroxiredoxin"
"NP_009490.1","COG5059@NOG","Z","Required for assembly of the mitotic spindle. Interact with spindle microtubules to produce an outwardly directed force acting upon the poles. Following spindle assembly, CIN8 and KIP1 apparently act to oppose a force that draws separated poles back together. This force seems to be mediate by KAR3"
"NP_009492.1","COG0790@NOG","M, O, T","SEL1"
"NP_009493.1","COG5307@NOG","U","Guanine nucleotide exchange factor for ARF3 required for localization of ARF3 to the bud neck and tip and involved in actin patch polarization (By similarity)"
"NP_009494.1","11DS6@NOG",NA,NA
"NP_009495.1","0YGXU@NOG","Y","domain-containing protein"
"NP_009496.2","COG1990@NOG","S","Peptidyl-tRNA hydrolase PTH2"
"NP_009497.2","COG0631@NOG","T","Protein phosphatase 2C homolog"
"NP_009498.1","COG0084@NOG","L","TatD related DNase"
"NP_009499.1","12CJD@NOG","K","Component of the RPD3 histone deacetylase complex RPD3C(L) responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events"
"NP_009501.1","COG5027@NOG","B","MOZ/SAS family"
"NP_009502.1","0XQBV@NOG","A","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"NP_009503.1","0XPQ6@NOG","U","Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus"
"NP_009504.1","11VJ1@NOG","S","Pfam:Yippee"
"NP_009506.1","122UT@NOG","Z","EH"
"NP_009507.1","0ZIX1@NOG","B","Regulatory subunit of the histone H2A phosphatase complex, which dephosphorylates H2AS128ph (gamma-H2A) that has been displaced from sites of DNA lesions in the double-stranded DNA break repair process. Dephosphorylation is necessary for efficient recovery from the DNA damage checkpoint"
"NP_009508.1","COG0612@NOG","C","Ubiquinol-cytochrome C reductase"
"NP_009510.1","11AWP@NOG",NA,NA
"NP_009511.1","COG1953@NOG","F, H","Permease for cytosine/purines, uracil, thiamine, allantoin"
"NP_009512.1","COG0638@NOG","O","The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)"
"NP_009513.1","COG5196@NOG","U","Required for the retention of luminal endoplasmic reticulum proteins. Determines the specificity of the luminal ER protein retention system. Also required for normal vesicular traffic through the Golgi"
"NP_009514.1","COG0504@NOG","F","Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen"
"NP_009515.1","COG0197@NOG","J","mitochondrial 54S ribosomal protein YmL47"
"NP_009516.1","0XNQE@NOG","U","Adaptin C-terminal domain"
"NP_009517.1","COG0325@NOG","S","Alanine racemase, N-terminal domain"
"NP_009518.1","COG5214@NOG","L","DNA polymerase alpha subunit B N-terminal"
"NP_009519.1","0ZMY0@NOG","Z","Microtubule binding protein that promotes the stabilization of dynamic microtubules. Required for"
"NP_009520.1","COG0807@NOG","H","GTP cyclohydrolase II"
"NP_009521.1","0XNN8@NOG","B","RNA-binding protein involved in the correct localization of transcripts in the cell. RNA localization is a widespread mechanism for achieving localized protein synthesis. Involved in structural and functional organization of telomeric chromatin and regulates silencing at the HMR locus (By similarity)"
"NP_009522.1","118KE@NOG","Z","May have a role related to the spindle integrity"
"NP_009523.1","0XNW0@NOG","C","ADP ATP carrier protein"
"NP_009524.1","0YH3B@NOG",NA,NA
"NP_009525.1","0Y803@NOG","S","Protein of unknown function (DUF2423)"
"NP_009526.1","COG2147@NOG","J","ribosomal protein L19"
"NP_009527.1","COG1958@NOG","A","Sm"
"NP_009528.1","118MW@NOG","K","RNA polymerase I-specific transcription initiation factor RRN10"
"NP_009529.1","COG0144@NOG","J","NOL1/NOP2/sun family"
"NP_009530.1","COG1241@NOG","L","DNA replication licensing factor MCM2"
"NP_009531.1","COG0466@NOG","L","ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial DNA in a site-specific manner (By similarity)"
"NP_009532.1","COG2036@NOG","K","sequence-specific DNA binding"
"NP_009533.1","0Y1D5@NOG","U","May participate in the translocation of oligosaccharide from the cytoplasmic side to the lumenal side of the endoplasmic reticulum membrane (By similarity)"
"NP_009534.1","COG0708@NOG","L","GRF zinc finger"
"NP_009535.1","11BHI@NOG","A","P MRP protein subunit POP8"
"NP_009536.1","0Y3W5@NOG","U","Functions as a sorting receptor in the Golgi compartment required for the intracellular sorting and delivery of soluble vacuolar proteins, like carboxypeptidase Y (CPY) and proteinase A. Executes multiple rounds of sorting by cycling between the late Golgi and a prevacuolar endosome-like compartment"
"NP_009537.1","0XNY0@NOG","T","S_TKc"
"NP_009538.1","COG0427@NOG","C","Presumably involved in regulating the intracellular acetyl-CoA pool for fatty acid and cholesterol synthesis and fatty acid oxidation"
"NP_009539.2","0XUPV@NOG","K","RNA polymerase I-specific transcription initiation factor RRN6"
"NP_009540.2","COG0223@NOG","J","Formyl transferase"
"NP_009542.1","COG0204@NOG","I","Acyltransferase"
"NP_009543.1","118MQ@NOG",NA,NA
"NP_009544.1","COG5072@NOG","D","protein serine/threonine kinase activity"
"NP_009545.2","0XP1H@NOG","B","Required for replication-independent chromatin assembly and for the periodic repression of histone gene transcription during the cell cycle (By similarity)"
"NP_009546.1","0XRU5@NOG","Z","Component of the PAN1 actin cytoskeleton-regulatory complex required for the internalization of endosomes during actin-coupled endocytosis. The complex links the site of endocytosis to the cell membrane-associated actin cytoskeleton. Mediates uptake of external molecules and vacuolar degradation of plasma membrane proteins. Plays a role in the proper organization of the cell membrane-associated actin cytoskeleton and promotes its destabilization (By similarity)"
"NP_009547.2","116AG@NOG","K","complex protein RSC14"
"NP_009548.1","0Y6CC@NOG","K","Pleiotropic drug resistance protein"
"NP_009549.1","COG2801@NOG","L","Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of"
"NP_009550.1","COG2801@NOG","K","Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity)"
"NP_009551.2","0XSRE@NOG","V","Down-regulated in metastasis"
"NP_009552.1","COG5262@NOG","B","Core component of nucleosome which plays a central role in DNA double strand break (DSB) repair. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
"NP_009553.1","11NV5@NOG","B","Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
