locus_tag,cluster,acc,COG_category,probability,HMM_description,NOGs
YDL014W,induced,NP_010270.1,A,0.9999981037358701,Involved in pre-rRNA processing. Utilizes the methyl donor S-adenosyl-L-methionine to catalyze the site-specific 2'- hydroxyl methylation of ribose moieties in pre-ribosomal RNA. Site specificity is provided by a guide RNA that base pairs with the substrate. Methylation occurs at a characteristic distance from the sequence involved in base pairing with the guide RNA,COG1889@NOG
YDL020C,repressed,NP_010264.3,K,0.9998363375969888,ZnF_C2H2,0XS04@NOG
YDL021W,repressed,NP_010263.1,G,0.9563292098449211,phosphoglycerate mutase,COG0588@NOG
YDL022W,repressed,NP_010262.1,C,0.9953301413152312,Glycerol-3-phosphate dehydrogenase,COG0240@NOG
YDL023C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YDL038C,induced,NA,S,0.00725198931733243,Function unknown,NA
YDL039C,induced,NP_010245.2,O,0.1672306973643994,Member of the seripauperin multigene family encoded mainly in subtelomeric regions,0YXX3@NOG
YDL051W,induced,NP_010232.1,A,0.9999981037358701,LA,COG5193@NOG
YDL061C,induced,NP_010222.1,J,NA,ribosomal protein S29,COG0199@NOG
YDL062W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDL063C,induced,NP_010220.1,S,0.00725198931733243,Inherit from ascNOG: ribosomal large subunit biogenesis,10X0F@NOG
YDL075W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDL081C,induced,NP_010202.1,J,NA,60S acidic ribosomal protein P1,COG2058@NOG
YDL082W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDL083C,induced,NA,S,0.00725198931733243,Function unknown,NA
YDL110C,repressed,NP_010173.1,S,0.9998184782267798,Function unknown,0ZABY@NOG
YDL124W,repressed,NP_010159.1,S,0.9998184782267798,Aldo/keto reductase family,COG0656@NOG
YDL148C,induced,NP_010133.1,J,NA,Involved in nucleolar processing of pre-18S ribosomal RNA. Has a role in the nuclear export of 40S pre-ribosomal subunit to the cytoplasm,0XNWY@NOG
YDL153C,induced,NP_010128.1,B,NA,Pfam:Sas10_Utp3_C,0XSPX@NOG
YDL167C,induced,NP_010114.1,S,0.00725198931733243,Zn-finger in Ran binding protein and others,0YNCK@NOG
YDL169C,repressed,NP_010112.1,S,0.9998184782267798,Function unknown,119SB@NOG
YDL181W,repressed,NP_010100.1,Z,NA,negative regulation of nucleotide metabolic process,0Y6GH@NOG
YDL182W,induced,NP_010099.1,E,8.622285680355961e-4,homocitrate synthase,COG0119@NOG
YDL191W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDL199C,repressed,NP_010082.1,G,0.9563292098449211,Sugar (and other) transporter,0XNQK@NOG
YDL204W,repressed,NP_010077.1,U,0.9999999999997884,reticulon 3,0XPKH@NOG
YDL218W,repressed,NP_010063.1,S,0.9998184782267798,Membrane-associating domain,11C47@NOG
YDL222C,repressed,NP_010059.1,S,0.9998184782267798,Integral membrane protein localized to mitochondria (untagged protein),11RMX@NOG
YDL223C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YDR001C,repressed,NP_010284.1,G,0.9563292098449211,"alpha,alpha-trehalase activity",COG1626@NOG
YDR012W,induced,NP_010295.3,J,NA,Ribosomal protein L4,COG0088@NOG
YDR018C,repressed,NP_010301.1,I,0.8468598308460155,Acyltransferase,COG0204@NOG
YDR019C,induced,NP_010302.1,E,8.622285680355961e-4,The glycine cleavage system catalyzes the degradation of glycine (By similarity),COG0404@NOG
YDR023W,induced,NP_010306.1,J,NA,Seryl-tRNA synthetase N-terminal domain,COG0172@NOG
YDR025W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR032C,repressed,NP_010315.1,S,0.9998184782267798,NADPH-dependent FMN reductase,COG0655@NOG
YDR033W,induced,NP_010316.1,P,0.08084512295836578,ion channel activity,COG5524@NOG
YDR037W,induced,NP_010322.1,J,NA,lysyl-tRNA synthetase,COG1190@NOG
YDR043C,repressed,NP_010328.3,K,0.9998363375969888,ZnF_C2H2,COG5048@NOG
YDR046C,induced,NP_010331.3,E,8.622285680355961e-4,amino acid transmembrane transporter activity,COG0833@NOG
YDR055W,repressed,NP_010340.1,S,0.9998184782267798,fungal-type cell wall organization,11JI6@NOG
YDR059C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YDR064W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR070C,repressed,NP_010355.1,S,0.9998184782267798,Function unknown,119QN@NOG
YDR074W,repressed,NP_010359.1,G,0.9563292098449211,Trehalose-phosphatase,COG0380@NOG COG1877@NOG
YDR077W,repressed,NP_010362.3,S,0.9998184782267798,Function unknown,0YX6C@NOG
YDR083W,induced,NP_010368.5,A,0.9999981037358701,Ribosomal RNA-processing protein 8,11J8Z@NOG
YDR085C,repressed,NP_010370.1,S,0.9998184782267798,Function unknown,0Y6M1@NOG
YDR087C,induced,NP_010372.3,A,0.9999981037358701,Ribosomal RNA-processing protein 1,11GJ6@NOG
YDR091C,induced,NP_010376.3,J,NA,4Fe-4S binding domain,COG1245@NOG
YDR096W,repressed,NP_010381.1,K,0.9998363375969888,jmjN domain,COG5048@NOG
YDR101C,induced,NP_010386.1,J,NA,metalloprotease involved in proper assembly of pre-ribosomal particles during the biogenesis of the 60S ribosomal subunit. Accompanies the pre-60S particles to the cytoplasm,COG0024@NOG
YDR111C,induced,NP_010396.1,E,8.622285680355961e-4,alanine aminotransferase,COG0436@NOG
YDR112W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR120C,induced,NP_010405.3,J,NA,"N2,N2-dimethylguanosine tRNA methyltransferase",COG1867@NOG
YDR144C,induced,NP_010428.3,O,0.1672306973643994,attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor,0XNV7@NOG
YDR148C,repressed,NP_010432.3,C,0.9953301413152312,2-oxoacid dehydrogenases acyltransferase (catalytic domain),COG0508@NOG
YDR158W,induced,NP_010442.3,E,8.622285680355961e-4,aspartate-semialdehyde dehydrogenase,COG0136@NOG
YDR165W,induced,NP_010449.1,A,0.9999981037358701,"Required for the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA. In the complex, it is required to stabilize and induce conformational change of the catalytic subunit (By similarity)",11WRP@NOG
YDR171W,repressed,NP_010456.1,O,0.9699133011869505,Hsp20/alpha crystallin family,COG0071@NOG
YDR178W,repressed,NP_010463.1,C,0.9953301413152312,II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q),11RTW@NOG
YDR184C,induced,NP_010470.1,S,0.00725198931733243,Involved in cation homeostasis and in the regulation of the cation stress signaling cascades (By similarity),11C2W@NOG
YDR204W,repressed,NP_010490.1,H,0.4737229769854949,Component of the coenzyme Q biosynthetic pathway. May play a role in organizing a multi-subunit COQ enzyme complex required for coenzyme Q biosynthesis. Required for steady-state levels of other COQ polypeptides (By similarity),COG5031@NOG
YDR209C,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR214W,repressed,NP_010500.3,O,0.9699133011869505,Activator of Hsp90 ATPase homolog 1-like protein,COG5580@NOG
YDR223W,repressed,NP_010509.1,K,0.9998363375969888,Transcription factor CRF1,1269S@NOG
YDR234W,induced,NP_010520.3,E,8.622285680355961e-4,Responsible for the dehydration of cis-homoaconitate to homoisocitric acid,COG1048@NOG
YDR247W,repressed,NP_010533.1,T,0.9989297194930686,serine threonine protein kinase,COG0515@NOG
YDR256C,repressed,NP_010542.1,P,0.7063766671645022,Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity),COG0753@NOG
YDR258C,repressed,NP_010544.3,O,0.9699133011869505,"C-terminal, D2-small domain, of ClpB protein",COG0542@NOG
YDR262W,repressed,NP_010548.3,S,0.9998184782267798,FAS1 domain-containing protein,0Y1DR@NOG
YDR275W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YDR277C,repressed,NP_010563.3,K,0.9998363375969888,single organism signaling,0Y4G1@NOG
YDR309C,induced,NP_010595.1,S,0.00725198931733243,Function unknown,115QY@NOG
YDR312W,induced,NP_010598.3,J,NA,"ribosome biogenesis, protein",0XRP7@NOG
YDR313C,repressed,NP_010599.1,S,0.9998184782267798,FYVE zinc finger,0XPJK@NOG
YDR321W,induced,NP_010607.3,E,8.622285680355961e-4,Asparaginase,COG0252@NOG
YDR324C,induced,NP_010611.3,A,0.9999981037358701,U3 small nucleolar RNA-associated protein 4,0XQNR@NOG
YDR341C,induced,NP_010628.3,J,NA,Arginyl tRNA synthetase N terminal domain,COG0018@NOG
YDR342C,repressed,NP_010629.3,G,0.9563292098449211,glucose transporter of the major facilitator superfamily,0XNQK@NOG
YDR343C,repressed,NP_010630.1,G,0.9563292098449211,glucose transporter of the major facilitator superfamily,0XNQK@NOG
YDR353W,induced,NP_010640.1,O,0.1672306973643994,thioredoxin reductase,COG0492@NOG
YDR358W,repressed,NP_010645.1,U,0.9999999999997884,VHS domain protein,0Y26G@NOG
YDR361C,induced,NP_010648.3,U,0.9999976571970102,"Involved in nuclear export, actin cytoskeleton organization and vesicular transport (By similarity)",11GYV@NOG
YDR365C,induced,NP_010653.1,S,0.00725198931733243,rRNA processing,COG5638@NOG
YDR380W,repressed,NP_010668.3,E,2.4936491944344962e-6,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",COG3961@NOG
YDR382W,induced,NP_010670.3,J,NA,60S acidic ribosomal protein P2,COG2058@NOG
YDR384C,induced,NP_010672.1,P,0.08084512295836578,GPR1/FUN34/yaaH family,COG1584@NOG
YDR385W,induced,NP_010673.1,J,NA,"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome",COG0480@NOG
YDR398W,induced,NP_010686.1,A,0.9999981037358701,U3 small nucleolar RNA-associated protein 5,0XRY4@NOG
YDR399W,induced,NP_010687.3,F,0.4153807069687917,Phosphoribosyl transferase domain,COG2236@NOG
YDR412W,induced,NP_010700.3,S,0.00725198931733243,ribosomal RNA-processing protein 17,0XZ47@NOG
YDR417C,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR450W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR453C,repressed,NP_010741.1,O,0.9699133011869505,PeRoxireDoXin,COG0450@NOG
YDR465C,induced,NP_010753.1,E,8.622285680355961e-4,Arginine N-methyltransferase 2,10T2S@NOG
YDR471W,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR492W,induced,NP_010780.1,T,0.6001982973281375,Haemolysin-III related,COG1272@NOG
YDR496C,induced,NP_010784.1,J,NA,pumilio-family RNA binding domain-containing protein,0XSHY@NOG
YDR500C,induced,NA,S,0.00725198931733243,Function unknown,NA
YDR502C,induced,NP_010790.3,H,0.6067317397428283,Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity),COG0192@NOG
YDR508C,induced,NP_010796.1,E,8.622285680355961e-4,proline transmembrane transport,COG0833@NOG
YDR513W,repressed,NP_010801.1,O,0.9699133011869505,Glutaredoxin,COG0695@NOG
YDR516C,repressed,NP_010804.3,G,0.9563292098449211,glucokinase activity,COG5026@NOG
YDR529C,repressed,NP_010818.1,C,0.9953301413152312,"component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain",11V1G@NOG
YDR536W,repressed,NP_010825.3,G,0.9563292098449211,Sugar (and other) transporter,0XNQK@NOG
YEL011W,repressed,NP_010905.1,G,0.9563292098449211,"1,4-alpha-glucan branching enzyme (EC 2.4.1.18)",COG0296@NOG
YEL012W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YEL024W,repressed,NP_010890.3,C,0.9953301413152312,"Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)",COG0723@NOG
YEL026W,induced,NP_010888.1,A,0.9999981037358701,"Common component of the spliceosome and rRNA processing machinery. In association with the spliceosomal U4 U6.U5 tri-snRNP particle, required for splicing of pre-mRNA. In association with box C D snoRNPs, required for processing of pre-ribosomal RNA (rRNA) and site-specific 2'-O-methylation of substrate RNAs. Essential for the accumulation and stability of U4 snRNA, U6 snRNA, and box C D snoRNAs",COG1358@NOG
YEL039C,repressed,NP_010875.1,C,0.9953301413152312,"Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain",COG3474@NOG
YEL040W,induced,NP_010874.3,G,2.0609048813476683e-12,Glycosyl hydrolases family 16,COG2273@NOG
YEL042W,induced,NP_010872.1,G,2.0609048813476683e-12,"After transfer of sugars to endogenous macromolecular acceptors, the enzyme converts nucleoside diphosphates to nucleoside monophosphates which in turn exit the Golgi lumen in a coupled antiporter reaction, allowing entry of additional nucleotide sugar from the cytosol",COG5371@NOG
YEL054C,induced,NP_010860.1,J,NA,ribosomal protein L12,COG0080@NOG
YEL060C,repressed,NP_010854.1,O,0.9699133011869505,Peptidase inhibitor I9,COG1404@NOG
YEL065W,induced,NP_010849.3,P,0.08084512295836578,siderophore transporter activity,0ZYHG@NOG
YEL071W,induced,NP_010843.1,C,5.613709551068091e-19,"FAD linked oxidases, C-terminal domain",COG0277@NOG
YER006W,induced,NP_010921.1,S,0.00725198931733243,GNL3L/Grn1 putative GTPase,COG1161@NOG
YER024W,repressed,NP_010941.1,I,0.8468598308460155,Choline/Carnitine o-acyltransferase,0XNZ9@NOG
YER025W,induced,NP_010942.1,J,NA,translation initiation factor 2 subunit,COG5257@NOG
YER036C,induced,NP_010953.1,J,NA,ABC transporter,COG0488@NOG
YER037W,repressed,NP_010954.1,S,0.9998184782267798,Haloacid dehalogenase-like hydrolase family protein,COG1011@NOG
YER043C,induced,NP_010961.3,H,0.6067317397428283,adenosylhomocysteinase,COG0499@NOG
YER049W,induced,NP_010969.1,B,NA,Oxoglutarate and iron-dependent oxygenase degradation C-term,COG3751@NOG
YER052C,induced,NP_010972.1,E,8.622285680355961e-4,Aspartokinase,COG0527@NOG
YER053C,repressed,NP_010973.3,C,0.9953301413152312,Mitochondrial carrier protein,0XPST@NOG
YER054C,repressed,NP_010974.1,"O, T",NA,Putative phosphatase regulatory subunit,11FT1@NOG
YER055C,induced,NP_010975.3,E,8.622285680355961e-4,Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of the enzymatic activity (By similarity),COG0040@NOG
YER056C,induced,NP_010976.1,P,0.08084512295836578,cytosine transport,COG1457@NOG
YER056C-A,induced,NA,S,0.00725198931733243,Function unknown,NA
YER062C,induced,NP_010984.3,H,0.6067317397428283,glycerol-1-phosphatase activity,COG0637@NOG
YER067W,repressed,NP_010990.1,T,0.9989297194930686,"Involved in the control of energetic metabolism and significantly contribute to cell fitness, especially under respiratory growth conditions (By similarity)",11YS8@NOG
YER069W,repressed,NP_010992.1,E,2.4936491944344962e-6,Protein of unknown function (DUF619),COG0002@NOG COG0548@NOG
YER070W,induced,NP_010993.1,F,0.4153807069687917,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity),COG0209@NOG
YER074W,induced,NA,S,0.00725198931733243,Function unknown,NA
YER079W,repressed,NP_011002.1,S,0.9998184782267798,Function unknown,0YRN8@NOG
YER081W,repressed,NP_011004.3,E,2.4936491944344962e-6,"3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis",COG0111@NOG
YER084W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YER086W,induced,NP_011009.1,E,8.622285680355961e-4,C-terminal regulatory domain of Threonine dehydratase,COG1171@NOG
YER091C,induced,NP_011015.3,E,8.622285680355961e-4,"Cobalamin-independent synthase, Catalytic domain",COG0620@NOG
YER096W,repressed,NP_011022.1,"M, O, T",NA,Sel-1 suppressor of lin-12-like,COG0790@NOG
YER102W,induced,NP_011028.1,J,NA,40S ribosomal protein S8,COG2007@NOG
YER103W,repressed,NP_011029.3,O,0.9699133011869505,heat- shock,COG0443@NOG
